Seq,Row,Orig_Symbol,Orig_Order,Orig_IC,Orig_Entropy,Swap_Symbol,Swap_Order,Swap_IC,Swap_Entropy,Distance,song,Label,Orig_Function,Swap_Function
1,30,-VII,7,0.50087037329136,2.35055008438933,-VII,7,0.50087037329136,2.35055008438933,,"",,"",""
1,31,I,5,0.376998776321551,1.79753449722317,I,5,0.376998776321551,1.79753449722317,,"",,"",""
1,32,I,10,2.41517847373618,4.08814571642537,I,10,2.41517847373618,4.08814571642537,,"",,"",""
1,33,-VI,10,6.11706363002577,4.40472871846985,-VI,10,6.11706363002577,4.40472871846985,,"",,"",""
1,34,IV,4,4.90034924097932,4.840556496992,IV,4,4.90034924097932,4.840556496992,,"",,"",""
1,35,-III,4,6.80347040752619,3.78539907005807,-VI,4,6.80347040752619,3.78539907005807,0,BadCompany_RockNRollFantasy_1979,2,T,T
1,36,-VII,2,4.1210860806352,5.28844281292433,-VII,2,3.55782267360558,5.08433863673819,,"",,"",""
1,37,IV,3,3.16609549647786,4.87097204623485,IV,3,6.31849270790469,4.19538024103264,,"",,"",""
1,38,IV,4,3.71435195595669,4.69490272941801,IV,2,4.23409697640767,5.32130108519813,,"",,"",""
1,39,-VI,4,5.27976399570133,4.61249308781272,-VI,3,4.96667033460657,5.10394686932781,,"",,"",""
1,40,IV,4,6.61006306322166,3.87037991241366,IV,4,6.61006306322166,3.87037991241366,,"",,"",""
,,,,,,,,,,,,,,
2,52,I,10,2.32751683653229,4.84835933538888,I,10,2.32751683653229,4.84835933538888,,"",,"",""
2,53,I,10,1.06221624377241,3.3705306209796,I,10,1.06221624377241,3.3705306209796,,"",,"",""
2,54,I,10,1.28914647829487,3.93471308342986,I,10,1.28914647829487,3.93471308342986,,"",,"",""
2,55,-VI,10,7.19444270847058,2.33005953842064,-VI,10,7.19444270847058,2.33005953842064,,"",,"",""
2,56,IV,8,5.89570685711584,3.68711771316127,IV,8,5.89570685711584,3.68711771316127,,"",,"",""
2,57,-III,4,6.80347040752619,3.78539907005807,-VI,4,6.80347040752619,3.78539907005807,0,BadCompany_RockNRollFantasy_1979,2,T,T
2,58,-VII,2,4.1210860806352,5.28844281292433,-VII,2,3.55782267360558,5.08433863673819,,"",,"",""
2,59,IV,3,3.16609549647786,4.87097204623485,IV,3,6.31849270790469,4.19538024103264,,"",,"",""
2,60,IV,4,3.71435195595669,4.69490272941801,IV,2,4.23409697640767,5.32130108519813,,"",,"",""
2,61,-VI,4,5.27976399570133,4.61249308781272,-VI,3,4.96667033460657,5.10394686932781,,"",,"",""
2,62,IV,4,6.61006306322166,3.87037991241366,IV,4,6.61006306322166,3.87037991241366,,"",,"",""
,,,,,,,,,,,,,,
3,53,I,8,0.275896475877397,1.49824277862258,I,8,0.275896475877397,1.49824277862258,,"",,"",""
3,54,I,10,2.51154124215128,4.42626496272436,I,10,2.51154124215128,4.42626496272436,,"",,"",""
3,55,IV,10,4.27805841428923,3.76538094621001,IV,10,4.27805841428923,3.76538094621001,,"",,"",""
3,56,V,8,2.66426128502894,4.34087961174561,V,8,2.66426128502894,4.34087961174561,,"",,"",""
3,57,V,8,3.93038595949194,2.85851196498088,V,8,3.93038595949194,2.85851196498088,,"",,"",""
3,58,viio,6,8.57597714535694,3.37223257011823,#io,6,8.57597714535694,3.37223257011823,0,BrendaLee_AsUsual_1964,2,D,T
3,59,I,1,4.28058164228188,5.33462985369171,I,1,6.28974321600504,4.94106151654308,,"",,"",""
3,60,I,2,5.06997417077855,5.31755365697044,I,1,4.85681138421841,5.48626861404904,,"",,"",""
3,61,I,2,4.39031009514935,5.44309156996341,I,2,4.39031009514935,5.44309156996341,,"",,"",""
3,62,I,3,3.74951452361127,5.3531974033589,I,3,3.74951452361127,5.3531974033589,,"",,"",""
3,63,r,4,3.05941945949232,5.23207321597362,r,4,3.05941945949232,5.23207321597362,,"",,"",""
,,,,,,,,,,,,,,
4,10,i,9,2.04887984473702,4.48498997930916,i,9,2.04887984473702,4.48498997930916,,"",,"",""
4,11,i,10,0.929899166645485,3.349764893134,i,10,0.929899166645485,3.349764893134,,"",,"",""
4,12,i,10,0.350744017074269,1.72578304315113,i,10,0.350744017074269,1.72578304315113,,"",,"",""
4,13,i,10,0.350744017074269,1.72578304315113,i,10,0.350744017074269,1.72578304315113,,"",,"",""
4,14,i,10,0.350744017074269,1.72578304315113,i,10,0.350744017074269,1.72578304315113,,"",,"",""
4,15,vo,10,10.1876122416338,1.72578304315113,-V,10,10.1876122416338,1.72578304315113,0,BrotherJackMcDuff_ThemeFromElectricSurfboard_1969,2,D,D
4,16,I,1,4.32910802660393,5.31119915570681,I,1,5.03987616360827,5.40275296527626,,"",,"",""
4,17,iv,2,2.55553638678794,5.18189128179931,iv,2,5.74491606885554,5.1740655635108,,"",,"",""
4,18,iv,3,2.38688999071183,5.01001760132077,iv,2,4.38696735403248,5.34646120284904,,"",,"",""
4,19,II,4,6.59716101065348,4.85850575818412,II,3,6.32154831510682,5.23473741989547,,"",,"",""
4,20,-II,2,5.96451516025073,5.23259226932344,-II,2,5.96451516025073,5.23259226932344,,"",,"",""
,,,,,,,,,,,,,,
5,202,i,5,1.96284489414309,4.18369266373557,i,5,1.96284489414309,4.18369266373557,,"",,"",""
5,203,i,6,2.15285811166956,4.31094859336576,i,6,2.15285811166956,4.31094859336576,,"",,"",""
5,204,-VI,6,5.15881265547828,2.09247330244808,-VI,6,5.15881265547828,2.09247330244808,,"",,"",""
5,205,V,6,4.54305366228056,4.00467874906108,V,6,4.54305366228056,4.00467874906108,,"",,"",""
5,206,iv,5,1.59832875849557,3.9755594532771,iv,5,1.59832875849557,3.9755594532771,,"",,"",""
5,207,-iii,4,7.74642525371488,3.64141811444658,#io,4,7.74642525371488,3.64141811444658,0,Chicago_25Or6To4_1970.varms,2,T,T
5,208,II,1,6.21708343481164,5.45382752599278,II,1,6.58526683466193,4.94131092040543,,"",,"",""
5,209,-VII,1,5.14341768904905,5.43839626646126,-VII,1,5.14341768904905,5.43839626646126,,"",,"",""
5,210,II,2,5.02606459263735,5.26999149741716,II,2,5.02606459263735,5.26999149741716,,"",,"",""
5,211,II,3,5.61088362189755,4.61000521144192,II,3,5.61088362189755,4.61000521144192,,"",,"",""
5,212,II,2,4.27227492289494,5.3603348678209,II,2,4.27227492289494,5.3603348678209,,"",,"",""
,,,,,,,,,,,,,,
6,37,-VII,9,1.11573793990581,3.23987185796414,-VII,9,1.11573793990581,3.23987185796414,,"",,"",""
6,38,i,10,3.22295896290767,3.76626011434311,i,10,3.22295896290767,3.76626011434311,,"",,"",""
6,39,-VII,10,0.508472041529515,2.11539816670418,-VII,10,0.508472041529515,2.11539816670418,,"",,"",""
6,40,-VI,10,3.66834630651584,3.60948009824837,-VI,10,3.66834630651584,3.60948009824837,,"",,"",""
6,41,-VII,10,2.22482205628485,4.2549811975507,-VII,10,2.22482205628485,4.2549811975507,,"",,"",""
6,42,-II,8,8.38611121350319,1.88118317077175,VII,8,8.38611121350319,1.88118317077175,0,CliffRichard_Carrie_1980,2,S,D
6,43,-III,3,2.98486083077209,5.01707004897566,-III,3,7.66978623940397,3.52030919278669,,"",,"",""
6,44,-VII,3,5.0144343735999,4.4972801482278,-VII,1,4.99658706324435,5.45499849349864,,"",,"",""
6,45,i,3,1.831344448031,4.56498998297391,i,2,3.90221525745327,5.16666540071698,,"",,"",""
6,46,i,4,3.81130558416862,4.79768711599694,i,3,3.57172493196854,5.0399575163443,,"",,"",""
6,47,-VII,4,3.8240590729559,5.02808832799665,-VII,4,3.8240590729559,5.02808832799665,,"",,"",""
,,,,,,,,,,,,,,
7,53,-VII,8,1.51242580093068,3.61782065071603,-VII,8,1.51242580093068,3.61782065071603,,"",,"",""
7,54,i,9,2.06840904057021,4.5283058706373,i,9,2.06840904057021,4.5283058706373,,"",,"",""
7,55,-VII,10,1.02899861364143,3.12471899285132,-VII,10,1.02899861364143,3.12471899285132,,"",,"",""
7,56,-VI,10,3.66834630651584,3.60948009824837,-VI,10,3.66834630651584,3.60948009824837,,"",,"",""
7,57,-VII,10,2.22482205628485,4.2549811975507,-VII,10,2.22482205628485,4.2549811975507,,"",,"",""
7,58,-II,8,8.38611121350319,1.88118317077175,VII,8,8.38611121350319,1.88118317077175,0,CliffRichard_Carrie_1980,2,S,D
7,59,-III,3,2.98486083077209,5.01707004897566,-III,3,7.66978623940397,3.52030919278669,,"",,"",""
7,60,-VII,3,5.0144343735999,4.4972801482278,-VII,1,4.99658706324435,5.45499849349864,,"",,"",""
7,61,i,3,1.831344448031,4.56498998297391,i,2,3.90221525745327,5.16666540071698,,"",,"",""
7,62,-II,4,2.5336006072205,4.79768711599694,-II,3,5.42618370740972,5.0399575163443,,"",,"",""
7,63,-VII,3,6.00586827080896,4.57924342957605,-VII,3,6.00586827080896,4.57924342957605,,"",,"",""
,,,,,,,,,,,,,,
8,106,-VII,8,1.51242580093068,3.61782065071603,-VII,8,1.51242580093068,3.61782065071603,,"",,"",""
8,107,i,9,2.06840904057021,4.5283058706373,i,9,2.06840904057021,4.5283058706373,,"",,"",""
8,108,-VII,10,1.02899861364143,3.12471899285132,-VII,10,1.02899861364143,3.12471899285132,,"",,"",""
8,109,-VI,10,3.66834630651584,3.60948009824837,-VI,10,3.66834630651584,3.60948009824837,,"",,"",""
8,110,-VII,10,2.22482205628485,4.2549811975507,-VII,10,2.22482205628485,4.2549811975507,,"",,"",""
8,111,-II,8,8.38611121350319,1.88118317077175,VII,8,8.38611121350319,1.88118317077175,0,CliffRichard_Carrie_1980,2,S,D
8,112,-III,3,2.98486083077209,5.01707004897566,-III,3,7.66978623940397,3.52030919278669,,"",,"",""
8,113,-VI,3,1.61458508128027,4.4972801482278,-VI,1,5.11753941073044,5.45499849349864,,"",,"",""
8,114,-VII,3,1.72544592386598,4.59983560227454,-VII,2,4.51156562316454,5.35245712802485,,"",,"",""
8,115,i,4,4.09677747316251,3.77357696879387,i,3,3.45056049015223,4.78832986367906,,"",,"",""
8,116,-VII,4,3.92369681776122,4.64629685436488,-VII,4,3.92369681776122,4.64629685436488,,"",,"",""
,,,,,,,,,,,,,,
9,122,-VII,9,1.11573793990581,3.23987185796414,-VII,9,1.11573793990581,3.23987185796414,,"",,"",""
9,123,i,10,1.22827452549479,3.71267269069336,i,10,1.22827452549479,3.71267269069336,,"",,"",""
9,124,-VII,10,0.508472041529515,2.11539816670418,-VII,10,0.508472041529515,2.11539816670418,,"",,"",""
9,125,-VI,10,3.66834630651584,3.60948009824837,-VI,10,3.66834630651584,3.60948009824837,,"",,"",""
9,126,-VII,10,2.22482205628485,4.2549811975507,-VII,10,2.22482205628485,4.2549811975507,,"",,"",""
9,127,-II,8,8.38611121350319,1.88118317077175,VII,8,8.38611121350319,1.88118317077175,0,CliffRichard_Carrie_1980,2,S,D
9,128,-III,3,2.98486083077209,5.01707004897566,-III,3,7.66978623940397,3.52030919278669,,"",,"",""
9,129,-VII,3,5.0144343735999,4.4972801482278,-VII,1,4.99658706324435,5.45499849349864,,"",,"",""
9,130,i,3,1.831344448031,4.56498998297391,i,2,3.90221525745327,5.16666540071698,,"",,"",""
9,131,-II,4,2.5336006072205,4.79768711599694,-II,3,5.42618370740972,5.0399575163443,,"",,"",""
9,132,-III,3,4.27379654014519,4.57924342957605,-III,3,4.27379654014519,4.57924342957605,,"",,"",""
,,,,,,,,,,,,,,
10,94,V,6,4.29938669587235,5.0594820763723,V,6,4.29938669587235,5.0594820763723,,"",,"",""
10,95,V,5,2.67739601890762,4.72381546321395,V,5,2.67739601890762,4.72381546321395,,"",,"",""
10,96,IV,6,3.47411578716776,4.84630219357225,IV,6,3.47411578716776,4.84630219357225,,"",,"",""
10,97,IV,7,1.587582364716,3.61713667845031,IV,7,1.587582364716,3.61713667845031,,"",,"",""
10,98,vio,8,8.49309420997538,3.0547343408028,vio,8,8.49309420997538,3.0547343408028,,"",,"",""
10,99,vio,3,7.49677511304137,3.95336642363795,V+,3,7.49677511304137,3.95336642363795,0,DarylHallAndJohnOates_KissOnMyList_1981.varms,2,T,D
10,100,ii,1,4.93073733756289,5.38005949656518,ii,1,6.13086384277509,5.17864112361203,,"",,"",""
10,101,V,2,2.17001818224297,4.98730816623617,V,1,4.40716669608686,5.44781545084432,,"",,"",""
10,102,I,3,2.09811827936116,4.86825837217494,I,2,3.79310019011585,5.3181185186345,,"",,"",""
10,103,V,4,4.73384775045192,5.16886641745679,V,3,4.5720215302861,5.39950490908621,,"",,"",""
10,104,vi,4,3.5423975109525,4.95410927761081,vi,4,3.5423975109525,4.95410927761081,,"",,"",""
,,,,,,,,,,,,,,
11,94,V,6,4.29938669587235,5.0594820763723,V,6,4.29938669587235,5.0594820763723,,"",,"",""
11,95,V,5,2.67739601890762,4.72381546321395,V,5,2.67739601890762,4.72381546321395,,"",,"",""
11,96,IV,6,3.47411578716776,4.84630219357225,IV,6,3.47411578716776,4.84630219357225,,"",,"",""
11,97,IV,7,1.587582364716,3.61713667845031,IV,7,1.587582364716,3.61713667845031,,"",,"",""
11,98,vio,8,8.49309420997538,3.0547343408028,vio,8,8.49309420997538,3.0547343408028,,"",,"",""
11,99,vio,3,7.49677511304137,3.95336642363795,#io,3,7.49677511304137,3.95336642363795,0,DarylHallAndJohnOates_KissOnMyList_1981.varms,2,T,T
11,100,ii,1,4.93073733756289,5.38005949656518,ii,1,2.74346926670143,4.94106151654308,,"",,"",""
11,101,V,2,2.17001818224297,4.98730816623617,V,2,3.84955655574817,5.28217124971234,,"",,"",""
11,102,I,3,2.09811827936116,4.86825837217494,I,3,4.09004741295651,4.85882006770952,,"",,"",""
11,103,V,4,4.73384775045192,5.16886641745679,V,3,4.5720215302861,5.39950490908621,,"",,"",""
11,104,vi,4,3.5423975109525,4.95410927761081,vi,4,3.5423975109525,4.95410927761081,,"",,"",""
,,,,,,,,,,,,,,
12,94,V,6,4.29938669587235,5.0594820763723,V,6,4.29938669587235,5.0594820763723,,"",,"",""
