Seq,Row,Symbol,Order,IC,Entropy,Function
1Orig,23,VI,4,6.48880727200955,4.60735525900489,diff
1Orig,24,IV,2,4.55883631349503,5.22562540178105,diff
1Orig,25,-VII,3,5.33262368146417,4.90079603161706,diff
1Orig,26,VII,3,6.47773974913354,4.9866742782161,diff
1Orig,27,VII,2,4.64992465251394,4.90982253840062,diff
1Orig,28,-iii,2,6.18454099627608,4.77330192596827,diff
1Orig,29,-VI,2,6.68165693441708,4.69098270909017,diff
1Orig,30,V,1,4.63140500236694,5.44549394590677,diff
1Orig,31,V,2,4.03216752122852,5.15725647040571,diff
1Orig,32,I,3,3.60313897976746,5.19612840547011,diff
1Orig,33,ii,4,5.1455827380748,5.0980124569071,diff
1Swap,23,VI,4,6.48880727200955,4.60735525900489,diff
1Swap,24,IV,2,4.55883631349503,5.22562540178105,diff
1Swap,25,-VII,3,5.33262368146417,4.90079603161706,diff
1Swap,26,VII,3,6.47773974913354,4.9866742782161,diff
1Swap,27,VII,2,4.64992465251394,4.90982253840062,diff
1Swap,28,#IV,2,6.18454099627608,4.77330192596827,diff
1Swap,29,-VI,2,5.58011740304138,4.46275620712388,diff
1Swap,30,V,2,4.92079367041082,5.15121879772406,diff
1Swap,31,V,2,4.03216752122852,5.15725647040571,diff
1Swap,32,I,3,3.60313897976746,5.19612840547011,diff
1Swap,33,ii,4,5.1455827380748,5.0980124569071,diff
2Orig,24,IV,2,4.55883631349503,5.22562540178105,same
2Orig,25,-VII,3,5.33262368146417,4.90079603161706,same
2Orig,26,VII,3,6.47773974913354,4.9866742782161,same
2Orig,27,VII,2,4.64992465251394,4.90982253840062,same
2Orig,28,-iii,2,6.18454099627608,4.77330192596827,same
2Orig,29,-VI,2,6.68165693441708,4.69098270909017,same
2Orig,30,V,1,4.63140500236694,5.44549394590677,same
2Orig,31,V,2,4.03216752122852,5.15725647040571,same
2Orig,32,I,3,3.60313897976746,5.19612840547011,same
2Orig,33,ii,4,5.1455827380748,5.0980124569071,same
2Orig,34,iii,4,4.75989653228226,4.59229707153782,same
2Swap,24,IV,2,4.55883631349503,5.22562540178105,same
2Swap,25,-VII,3,5.33262368146417,4.90079603161706,same
2Swap,26,VII,3,6.47773974913354,4.9866742782161,same
2Swap,27,VII,2,4.64992465251394,4.90982253840062,same
2Swap,28,-iii,2,6.18454099627608,4.77330192596827,same
2Swap,29,VI,2,6.68165693441708,4.69098270909017,same
2Swap,30,V,1,4.85852939563062,5.40740295843734,same
2Swap,31,V,2,3.67596578569867,5.28465492523773,same
2Swap,32,I,3,2.3699403788467,4.89980343230639,same
2Swap,33,ii,4,5.38053495968734,4.478634487377,same
2Swap,34,iii,4,4.75989653228226,4.59229707153782,same
3Orig,41,VI,4,5.92605734423291,5.29469355422002,diff
3Orig,42,IV,4,3.81143660133755,4.3678509730181,diff
3Orig,43,-VII,4,5.85552731831319,3.91304059046426,diff
3Orig,44,VII,3,6.47773974913354,4.9866742782161,diff
3Orig,45,VII,2,4.64992465251394,4.90982253840062,diff
3Orig,46,-iii,2,6.18454099627608,4.77330192596827,diff
3Orig,47,-VI,2,6.68165693441708,4.69098270909017,diff
3Orig,48,V,1,4.63140500236694,5.44549394590677,diff
3Orig,49,V,2,4.03216752122852,5.15725647040571,diff
3Orig,50,I,3,3.60313897976746,5.19612840547011,diff
3Orig,51,VI,4,5.80181626457284,5.0980124569071,diff
3Swap,41,VI,4,5.92605734423291,5.29469355422002,diff
3Swap,42,IV,4,3.81143660133755,4.3678509730181,diff
3Swap,43,-VII,4,5.85552731831319,3.91304059046426,diff
3Swap,44,VII,3,6.47773974913354,4.9866742782161,diff
3Swap,45,VII,2,4.64992465251394,4.90982253840062,diff
3Swap,46,#IV,2,6.18454099627608,4.77330192596827,diff
3Swap,47,-VI,2,5.58011740304138,4.46275620712388,diff
3Swap,48,V,2,4.92079367041082,5.15121879772406,diff
3Swap,49,V,2,4.03216752122852,5.15725647040571,diff
3Swap,50,I,3,3.60313897976746,5.19612840547011,diff
3Swap,51,VI,4,5.80181626457284,5.0980124569071,diff
4Orig,42,IV,4,3.81143660133755,4.3678509730181,same
4Orig,43,-VII,4,5.85552731831319,3.91304059046426,same
4Orig,44,VII,3,6.47773974913354,4.9866742782161,same
4Orig,45,VII,2,4.64992465251394,4.90982253840062,same
4Orig,46,-iii,2,6.18454099627608,4.77330192596827,same
4Orig,47,-VI,2,6.68165693441708,4.69098270909017,same
4Orig,48,V,1,4.63140500236694,5.44549394590677,same
4Orig,49,V,2,4.03216752122852,5.15725647040571,same
4Orig,50,I,3,3.60313897976746,5.19612840547011,same
4Orig,51,VI,4,5.80181626457284,5.0980124569071,same
4Orig,52,IV,4,4.30240305281254,3.41364880873704,same
4Swap,42,IV,4,3.81143660133755,4.3678509730181,same
4Swap,43,-VII,4,5.85552731831319,3.91304059046426,same
4Swap,44,VII,3,6.47773974913354,4.9866742782161,same
4Swap,45,VII,2,4.64992465251394,4.90982253840062,same
4Swap,46,-iii,2,6.18454099627608,4.77330192596827,same
4Swap,47,VI,2,6.68165693441708,4.69098270909017,same
4Swap,48,V,1,4.85852939563062,5.40740295843734,same
4Swap,49,V,2,3.67596578569867,5.28465492523773,same
4Swap,50,I,3,2.3699403788467,4.89980343230639,same
4Swap,51,VI,4,6.03676848618538,4.478634487377,same
4Swap,52,IV,4,4.30240305281254,3.41364880873704,same
5Orig,8,V,3,5.6909177935458,4.80059979983293,diff
5Orig,9,I,2,3.66148744747348,5.25601692488894,diff
5Orig,10,I,3,3.85393456518347,5.38045733451633,diff
5Orig,11,-III,4,5.74569020163332,5.08159277510463,diff
5Orig,12,v,4,4.85304510451873,5.00915058203921,diff
5Orig,13,-VII,4,5.65323357970415,4.3093779476211,diff
5Orig,14,-VII,3,4.9119492659301,5.09006041364546,diff
5Orig,15,iv,3,5.34109411589249,5.05207281029127,diff
5Orig,16,V,3,5.6909177935458,4.80059979983293,diff
5Orig,17,I,2,3.66148744747348,5.25601692488894,diff
5Orig,18,iii,3,5.56558223148314,5.38045733451633,diff
5Swap,8,V,3,5.6909177935458,4.80059979983293,diff
5Swap,9,I,2,3.66148744747348,5.25601692488894,diff
5Swap,10,I,3,3.85393456518347,5.38045733451633,diff
5Swap,11,-III,4,5.74569020163332,5.08159277510463,diff
5Swap,12,v,4,4.85304510451873,5.00915058203921,diff
5Swap,13,-III,4,5.65323357970415,4.3093779476211,diff
5Swap,14,-VII,3,5.7115262890817,4.69145310789329,diff
5Swap,15,iv,2,4.93309661043681,5.17015177161293,diff
5Swap,16,V,3,5.63862499904588,4.81160023837673,diff
