Seq,Row,Symbol,Order,IC,Entropy,Function
1Orig,30,-VII,7,0.50087037329136,2.35055008438933,same
1Orig,31,I,5,0.376998776321551,1.79753449722317,same
1Orig,32,I,10,2.41517847373618,4.08814571642537,same
1Orig,33,-VI,10,6.11706363002577,4.40472871846985,same
1Orig,34,IV,4,4.90034924097932,4.840556496992,same
1Orig,35,-III,4,6.80347040752619,3.78539907005807,same
1Orig,36,-VII,2,4.1210860806352,5.28844281292433,same
1Orig,37,IV,3,3.16609549647786,4.87097204623485,same
1Orig,38,IV,4,3.71435195595669,4.69490272941801,same
1Orig,39,-VI,4,5.27976399570133,4.61249308781272,same
1Orig,40,IV,4,6.61006306322166,3.87037991241366,same
1Swap,30,-VII,7,0.50087037329136,2.35055008438933,same
1Swap,31,I,5,0.376998776321551,1.79753449722317,same
1Swap,32,I,10,2.41517847373618,4.08814571642537,same
1Swap,33,-VI,10,6.11706363002577,4.40472871846985,same
1Swap,34,IV,4,4.90034924097932,4.840556496992,same
1Swap,35,-VI,4,6.80347040752619,3.78539907005807,same
1Swap,36,-VII,2,3.55782267360558,5.08433863673819,same
1Swap,37,IV,3,6.31849270790469,4.19538024103264,same
1Swap,38,IV,2,4.23409697640767,5.32130108519813,same
1Swap,39,-VI,3,4.96667033460657,5.10394686932781,same
1Swap,40,IV,4,6.61006306322166,3.87037991241366,same
2Orig,52,I,10,2.32751683653229,4.84835933538888,same
2Orig,53,I,10,1.06221624377241,3.3705306209796,same
2Orig,54,I,10,1.28914647829487,3.93471308342986,same
2Orig,55,-VI,10,7.19444270847058,2.33005953842064,same
2Orig,56,IV,8,5.89570685711584,3.68711771316127,same
2Orig,57,-III,4,6.80347040752619,3.78539907005807,same
2Orig,58,-VII,2,4.1210860806352,5.28844281292433,same
2Orig,59,IV,3,3.16609549647786,4.87097204623485,same
2Orig,60,IV,4,3.71435195595669,4.69490272941801,same
2Orig,61,-VI,4,5.27976399570133,4.61249308781272,same
2Orig,62,IV,4,6.61006306322166,3.87037991241366,same
2Swap,52,I,10,2.32751683653229,4.84835933538888,same
2Swap,53,I,10,1.06221624377241,3.3705306209796,same
2Swap,54,I,10,1.28914647829487,3.93471308342986,same
2Swap,55,-VI,10,7.19444270847058,2.33005953842064,same
2Swap,56,IV,8,5.89570685711584,3.68711771316127,same
2Swap,57,-VI,4,6.80347040752619,3.78539907005807,same
2Swap,58,-VII,2,3.55782267360558,5.08433863673819,same
2Swap,59,IV,3,6.31849270790469,4.19538024103264,same
2Swap,60,IV,2,4.23409697640767,5.32130108519813,same
2Swap,61,-VI,3,4.96667033460657,5.10394686932781,same
2Swap,62,IV,4,6.61006306322166,3.87037991241366,same
3Orig,53,I,8,0.275896475877397,1.49824277862258,diff
3Orig,54,I,10,2.51154124215128,4.42626496272436,diff
3Orig,55,IV,10,4.27805841428923,3.76538094621001,diff
3Orig,56,V,8,2.66426128502894,4.34087961174561,diff
3Orig,57,V,8,3.93038595949194,2.85851196498088,diff
3Orig,58,viio,6,8.57597714535694,3.37223257011823,diff
3Orig,59,I,1,4.28058164228188,5.33462985369171,diff
3Orig,60,I,2,5.06997417077855,5.31755365697044,diff
3Orig,61,I,2,4.39031009514935,5.44309156996341,diff
3Orig,62,I,3,3.74951452361127,5.3531974033589,diff
3Orig,63,r,4,3.05941945949232,5.23207321597362,diff
3Swap,53,I,8,0.275896475877397,1.49824277862258,diff
3Swap,54,I,10,2.51154124215128,4.42626496272436,diff
3Swap,55,IV,10,4.27805841428923,3.76538094621001,diff
3Swap,56,V,8,2.66426128502894,4.34087961174561,diff
3Swap,57,V,8,3.93038595949194,2.85851196498088,diff
3Swap,58,#io,6,8.57597714535694,3.37223257011823,diff
3Swap,59,I,1,6.28974321600504,4.94106151654308,diff
3Swap,60,I,1,4.85681138421841,5.48626861404904,diff
3Swap,61,I,2,4.39031009514935,5.44309156996341,diff
3Swap,62,I,3,3.74951452361127,5.3531974033589,diff
3Swap,63,r,4,3.05941945949232,5.23207321597362,diff
4Orig,10,i,9,2.04887984473702,4.48498997930916,same
4Orig,11,i,10,0.929899166645485,3.349764893134,same
4Orig,12,i,10,0.350744017074269,1.72578304315113,same
4Orig,13,i,10,0.350744017074269,1.72578304315113,same
4Orig,14,i,10,0.350744017074269,1.72578304315113,same
4Orig,15,vo,10,10.1876122416338,1.72578304315113,same
4Orig,16,I,1,4.32910802660393,5.31119915570681,same
4Orig,17,iv,2,2.55553638678794,5.18189128179931,same
4Orig,18,iv,3,2.38688999071183,5.01001760132077,same
4Orig,19,II,4,6.59716101065348,4.85850575818412,same
4Orig,20,-II,2,5.96451516025073,5.23259226932344,same
4Swap,10,i,9,2.04887984473702,4.48498997930916,same
4Swap,11,i,10,0.929899166645485,3.349764893134,same
4Swap,12,i,10,0.350744017074269,1.72578304315113,same
4Swap,13,i,10,0.350744017074269,1.72578304315113,same
4Swap,14,i,10,0.350744017074269,1.72578304315113,same
4Swap,15,-V,10,10.1876122416338,1.72578304315113,same
4Swap,16,I,1,5.03987616360827,5.40275296527626,same
4Swap,17,iv,2,5.74491606885554,5.1740655635108,same
4Swap,18,iv,2,4.38696735403248,5.34646120284904,same
4Swap,19,II,3,6.32154831510682,5.23473741989547,same
4Swap,20,-II,2,5.96451516025073,5.23259226932344,same
5Orig,202,i,5,1.96284489414309,4.18369266373557,same
5Orig,203,i,6,2.15285811166956,4.31094859336576,same
5Orig,204,-VI,6,5.15881265547828,2.09247330244808,same
5Orig,205,V,6,4.54305366228056,4.00467874906108,same
5Orig,206,iv,5,1.59832875849557,3.9755594532771,same
5Orig,207,-iii,4,7.74642525371488,3.64141811444658,same
5Orig,208,II,1,6.21708343481164,5.45382752599278,same
5Orig,209,-VII,1,5.14341768904905,5.43839626646126,same
5Orig,210,II,2,5.02606459263735,5.26999149741716,same
5Orig,211,II,3,5.61088362189755,4.61000521144192,same
5Orig,212,II,2,4.27227492289494,5.3603348678209,same
5Swap,202,i,5,1.96284489414309,4.18369266373557,same
5Swap,203,i,6,2.15285811166956,4.31094859336576,same
5Swap,204,-VI,6,5.15881265547828,2.09247330244808,same
5Swap,205,V,6,4.54305366228056,4.00467874906108,same
5Swap,206,iv,5,1.59832875849557,3.9755594532771,same
5Swap,207,#io,4,7.74642525371488,3.64141811444658,same
5Swap,208,II,1,6.58526683466193,4.94131092040543,same
5Swap,209,-VII,1,5.14341768904905,5.43839626646126,same
5Swap,210,II,2,5.02606459263735,5.26999149741716,same
5Swap,211,II,3,5.61088362189755,4.61000521144192,same
5Swap,212,II,2,4.27227492289494,5.3603348678209,same
6Orig,37,-VII,9,1.11573793990581,3.23987185796414,diff
6Orig,38,i,10,3.22295896290767,3.76626011434311,diff
6Orig,39,-VII,10,0.508472041529515,2.11539816670418,diff
6Orig,40,-VI,10,3.66834630651584,3.60948009824837,diff
6Orig,41,-VII,10,2.22482205628485,4.2549811975507,diff
6Orig,42,-II,8,8.38611121350319,1.88118317077175,diff
6Orig,43,-III,3,2.98486083077209,5.01707004897566,diff
6Orig,44,-VII,3,5.0144343735999,4.4972801482278,diff
6Orig,45,i,3,1.831344448031,4.56498998297391,diff
6Orig,46,i,4,3.81130558416862,4.79768711599694,diff
6Orig,47,-VII,4,3.8240590729559,5.02808832799665,diff
6Swap,37,-VII,9,1.11573793990581,3.23987185796414,diff
6Swap,38,i,10,3.22295896290767,3.76626011434311,diff
6Swap,39,-VII,10,0.508472041529515,2.11539816670418,diff
6Swap,40,-VI,10,3.66834630651584,3.60948009824837,diff
6Swap,41,-VII,10,2.22482205628485,4.2549811975507,diff
6Swap,42,VII,8,8.38611121350319,1.88118317077175,diff
6Swap,43,-III,3,7.66978623940397,3.52030919278669,diff
6Swap,44,-VII,1,4.99658706324435,5.45499849349864,diff
6Swap,45,i,2,3.90221525745327,5.16666540071698,diff
6Swap,46,i,3,3.57172493196854,5.0399575163443,diff
6Swap,47,-VII,4,3.8240590729559,5.02808832799665,diff
7Orig,53,-VII,8,1.51242580093068,3.61782065071603,diff
7Orig,54,i,9,2.06840904057021,4.5283058706373,diff
7Orig,55,-VII,10,1.02899861364143,3.12471899285132,diff
7Orig,56,-VI,10,3.66834630651584,3.60948009824837,diff
7Orig,57,-VII,10,2.22482205628485,4.2549811975507,diff
