"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
81,8,"ii",4.60073984359008,4.90931037771449,"vi",4.59939258856372,4.90931037771449,0.00134725502636535
29,3,"vi",5.16912068227228,5.45559694872231,"ii",5.19285115371174,5.45559694872231,0.0237304714394595
52,3,"vi",5.16912068227228,5.45559694872231,"ii",5.19285115371174,5.45559694872231,0.0237304714394595
94,3,"vi",5.16912068227228,5.45559694872231,"ii",5.19285115371174,5.45559694872231,0.0237304714394595
117,3,"vi",5.16912068227228,5.45559694872231,"ii",5.19285115371174,5.45559694872231,0.0237304714394595
106,32,"iv",6.74114613322998,3.78836476862639,"iio",6.6831525457752,3.78836476862639,0.0579935874547779
129,32,"iv",6.74114613322998,3.78836476862639,"iio",6.6831525457752,3.78836476862639,0.0579935874547779
75,14,"II",6.23212990585405,4.33913292454394,"-III",6.16348238796653,4.33913292454394,0.0686475178875234
74,9,"V",3.00026301896348,4.81293638873667,"IV",2.92204530619895,4.81293638873667,0.0782177127645363
33,4,"vi",3.73194258667716,5.0162085235224,"V",3.8121193104025,5.0162085235224,0.0801767237253466
56,4,"vi",3.73194258667716,5.0162085235224,"V",3.8121193104025,5.0162085235224,0.0801767237253466
98,4,"vi",3.73194258667716,5.0162085235224,"V",3.8121193104025,5.0162085235224,0.0801767237253466
121,4,"vi",3.73194258667716,5.0162085235224,"V",3.8121193104025,5.0162085235224,0.0801767237253466
