condition,batch,pair_num,swap_function,tonic,IC,Ent,Note
1,0,21,same,C,7.33,4.72,
1,0,25,same,B,6.37,5.44,
1,0,18,diff,D#,7.79,4.12,
1,0,29,diff,G,6.85,5.15,
2,0,14,same,F#,8.05,3.64,
2,0,70,same,A,8.77,1.6,
2,0,11,same,D#,7.5,3.95,backup
2,0,20,diff,A#,8.63,3.18,
2,0,40,diff,E,10.67,1.54,
2,0,16,diff,D,7.4,3.96,backup_#iv_-V
2,0,35,diff,C#,8.07,3.64,backup
3,0,15,same,D#,2.05_2.07,3.81,ic_diff
3,0,16,same,F,1.94_1.93,3.92,ic_diff
3,0,7,diff,G#,1.93,3.81,boring
3,0,25,diff,B,1.96_1.99,3.7,ic_diff
3,0,11,diff,C#,1.99_1.97,3.9,backup_ic_diff_boring
4,0,49,same,C,2.25_2.26,4.29,ic_diff_boring
4,1,105,same,A,2.64_2.65,4.41,ic_diff
4,0,31,diff,F,2.64_2.63,4.78,ic_diff_boring
4,0,35,diff,C#,2.31,4.34,
4,0,34,diff,C#,2.59,4.8,backup
