"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
50,5,"IV",2.58608066373055,4.44808296898314,"I",2.58800027972611,4.44808296898314,0.00191961599556478
80,5,"IV",2.58608066373055,4.44808296898314,"I",2.58800027972611,4.44808296898314,0.00191961599556478
33,9,"V",3.05590011803762,4.75653769285845,"IV",3.04852318562453,4.75653769285845,0.00737693241309012
19,3,"V",3.00984587683619,4.75894584646229,"ii",2.99062765933798,4.75894584646229,0.0192182174982114
37,3,"V",3.00984587683619,4.75894584646229,"ii",2.99062765933798,4.75894584646229,0.0192182174982114
67,3,"V",3.00984587683619,4.75894584646229,"ii",2.99062765933798,4.75894584646229,0.0192182174982114
13,5,"V",2.94581109303921,4.29932560120407,"I",2.90529064163163,4.29932560120407,0.0405204514075881
8,5,"V",2.68131569907174,4.63954491159176,"I",2.64079524766415,4.63954491159176,0.0405204514075885
19,5,"V",3.00984587683619,4.75894584646229,"I",2.95795706163887,4.75894584646229,0.0518888151973163
37,5,"V",3.00984587683619,4.75894584646229,"I",2.95795706163887,4.75894584646229,0.0518888151973163
67,5,"V",3.00984587683619,4.75894584646229,"I",2.95795706163887,4.75894584646229,0.0518888151973163
57,13,"ii",4.53879952193602,5.06875106297155,"-VII",4.59511968706118,5.06875106297155,0.0563201651251655
87,13,"ii",4.53879952193602,5.06875106297155,"-VII",4.59511968706118,5.06875106297155,0.0563201651251655
95,13,"ii",4.53879952193602,5.06875106297155,"-VII",4.59511968706118,5.06875106297155,0.0563201651251655
20,4,"I",2.52546616282164,4.62205701899556,"V",2.58627375047273,4.62205701899556,0.0608075876510954
38,4,"I",2.52546616282164,4.62205701899556,"V",2.58627375047273,4.62205701899556,0.0608075876510954
68,4,"I",2.52546616282164,4.62205701899556,"V",2.58627375047273,4.62205701899556,0.0608075876510954
58,4,"IV",4.37224068085744,3.73567959405867,"V",4.29484981833896,3.73567959405867,0.07739086251848
88,4,"IV",4.37224068085744,3.73567959405867,"V",4.29484981833896,3.73567959405867,0.07739086251848
96,4,"IV",4.37224068085744,3.73567959405867,"V",4.29484981833896,3.73567959405867,0.07739086251848
27,3,"V",2.13317335796541,4.26797547240038,"ii",2.21840213289973,4.26797547240038,0.0852287749343201
45,3,"V",2.13317335796541,4.26797547240038,"ii",2.21840213289973,4.26797547240038,0.0852287749343201
75,3,"V",2.13317335796541,4.26797547240038,"ii",2.21840213289973,4.26797547240038,0.0852287749343201
