"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
52,11,"iii",6.2419835562796,3.95694757601825,"v",6.25380298291972,3.95694757601825,0.0118194266401197
96,11,"iii",6.2419835562796,3.95694757601825,"v",6.25380298291972,3.95694757601825,0.0118194266401197
53,3,"vi",3.39342101046453,4.84658811479212,"ii",3.40731859306975,4.84658811479212,0.0138975826052254
97,3,"vi",3.39342101046453,4.84658811479212,"ii",3.40731859306975,4.84658811479212,0.0138975826052254
17,10,"-VII",5.35558376888195,5.09761723367949,"II",5.39460220902333,5.09761723367949,0.0390184401413736
38,10,"-VII",5.35558376888195,5.09761723367949,"II",5.39460220902333,5.09761723367949,0.0390184401413736
82,10,"-VII",5.35558376888195,5.09761723367949,"II",5.39460220902333,5.09761723367949,0.0390184401413736
33,3,"-VII",5.38790381873105,3.9864234252592,"ii",5.32196822985598,3.9864234252592,0.065935588875071
22,19,"ii",4.98891372356216,4.40739821968608,"iv",4.91510267423466,4.40739821968608,0.0738110493274977
43,19,"ii",4.98891372356216,4.40739821968608,"iv",4.91510267423466,4.40739821968608,0.0738110493274977
87,19,"ii",4.98891372356216,4.40739821968608,"iv",4.91510267423466,4.40739821968608,0.0738110493274977
12,7,"-VII",4.76477087766989,4.12465523380175,"iii",4.84192093218486,4.12465523380175,0.0771500545149673
77,7,"-VII",4.76477087766989,4.12465523380175,"iii",4.84192093218486,4.12465523380175,0.0771500545149673
59,9,"I",2.78123083619133,4.6385420147072,"IV",2.6973282427232,4.6385420147072,0.0839025934681339
69,9,"I",2.78123083619133,4.6385420147072,"IV",2.6973282427232,4.6385420147072,0.0839025934681339
103,9,"I",2.78123083619133,4.6385420147072,"IV",2.6973282427232,4.6385420147072,0.0839025934681339
26,8,"I",4.66467682840575,3.60725065689045,"vi",4.57565709851681,3.60725065689045,0.0890197298889426
47,8,"I",4.66467682840575,3.60725065689045,"vi",4.57565709851681,3.60725065689045,0.0890197298889426
91,8,"I",4.66467682840575,3.60725065689045,"vi",4.57565709851681,3.60725065689045,0.0890197298889426
