Data,QualtricsID,HarmonicFunction
1_21_S,Q143,same
1_21_S_overall,Q145_1,same
1_25_O,Q147,same
1_25_O_overall,Q149_1,same
1_18_O,Q159,diff
1_18_O_overall,Q161_1,diff
1_29_S,Q171,diff
1_29_S_overall,Q173_1,diff
2_14_O,Q175,same
2_14_O_overall,Q177_1,same
2_70_S,Q187,same
2_70_S_overall,Q189_1,same
2_20_O,Q191,diff
2_20_O_overall,Q193_1,diff
2_40_S,Q203,diff
2_40_S_overall,Q205_1,diff
3_15_O,Q207,same
3_15_O_overall,Q209_1,same
3_16_S,Q219,same
3_16_S_overall,Q221_1,same
3_7_O,Q223,diff
3_7_O_overall,Q225_1,diff
3_7_S,Q227,diff
3_7_S_overall,Q229_1,diff
3_25_S,Q235,diff
3_25_S_overall,Q237_1,diff
4_49_S,Q243,same
4_49_S_overall,Q245_1,same
4_105_O,Q247,same
4_105_O_overall,Q249_1,same
4_105_S,Q251,same
4_105_S_overall,Q253_1,same
4_31_S,Q259,diff
4_31_S_overall,Q261_1,diff
4_35_O,Q263,diff
4_35_O_overall,Q265_1,diff
1_18_S,Q163,diff
1_18_S_overall,Q165_1,diff
1_21_O,Q139,same
1_21_O_overall,Q141_1,same
1_25_S,Q151,same
1_25_S_overall,Q153_1,same
1_29_O,Q167,diff
1_29_O_overall,Q169_1,diff
2_40_O,Q199,diff
2_40_O_overall,Q201_1,diff
2_70_O,Q183,same
2_70_O_overall,Q185_1,same
2_14_S,Q179,same
2_14_S_overall,Q181_1,same
2_20_S,Q195,diff
2_20_S_overall,Q197_1,diff
3_15_S,Q211,same
3_15_S_overall,Q213_1,same
3_16_O,Q215,same
3_16_O_overall,Q217_1,same
3_25_O,Q231,diff
3_25_O_overall,Q233_1,diff
4_31_O,Q255,diff
4_31_O_overall,Q257_1,diff
4_35_S,Q267,diff
4_35_S_overall,Q269_1,diff
4_49_O,Q239,same
4_49_O_overall,Q241_1,same
re1_25_O,Q271,same
re1_25_O_overall,Q273_1,same
re2_40_S,Q275,diff
re2_40_S_overall,Q277_1,diff
re3_16_S,Q279,same
re3_16_S_overall,Q281_1,same
re4_35_O,Q283,diff
re4_35_O_overall,Q285_1,diff
