trial_id,chord_index,Symbol,Order,IC,Entropy,Function,SensoryDissonance,SpectralComplexity,SpectralCentroid
1_21_O,0,ii,0,5.751996329,5.09971751,same,0.39548258394002916,1.54,1997.942130126953
1_21_O,1,ii,1,4.36312273,5.120787058,same,0.39400685489177706,1.55,2004.723145751953
1_21_O,2,II,2,5.112650451,4.976862111,same,0.3802014970779419,1.35,1966.9897534179688
1_21_O,3,II,3,3.157679941,4.396789319,same,0.3767733210325241,1.42,1959.8766650390626
1_21_O,4,-VI,4,6.800025179,4.225617168,same,0.38123097449541093,1.27,1940.5477282714844
1_21_O,5,V+,2,7.334320503,4.718569944,same,0.3807154394686222,1.11,1993.2025244140625
1_21_O,6,I,1,3.413176446,4.732960528,same,0.37415538609027865,1.71,1837.7125073242187
1_21_O,7,I,2,3.264204227,4.951074734,same,0.38584534704685214,1.67,1852.9068090820313
1_21_O,8,IV,3,4.863803269,4.902115724,same,0.3817663122713566,1.65,1900.6076135253907
1_21_O,9,IV,3,3.84158003,4.993717803,same,0.37906326577067373,1.69,1895.8000610351562
1_21_O,10,#ivo,4,5.841967534,4.852737664,same,0.3841238451004028,1.49,1906.650662841797
1_21_S,0,ii,0,5.751996329,5.09971751,same,0.39548258394002916,1.54,1997.942130126953
1_21_S,1,ii,1,4.36312273,5.120787058,same,0.39400685489177706,1.55,2004.723145751953
1_21_S,2,II,2,5.112650451,4.976862111,same,0.3802014970779419,1.35,1966.9897534179688
1_21_S,3,II,3,3.157679941,4.396789319,same,0.3767733210325241,1.42,1959.8766650390626
1_21_S,4,-VI,4,6.800025179,4.225617168,same,0.38123097449541093,1.27,1940.5477368164063
1_21_S,5,-V,2,7.334320503,4.718569944,same,0.3584277203679085,1.23,1867.6666162109375
1_21_S,6,I,1,4.782639705,5.018487236,same,0.3767716966569424,1.7,1837.498505859375
1_21_S,7,I,2,2.212269219,4.787172048,same,0.3858437292277813,1.67,1852.9066967773438
1_21_S,8,IV,3,4.830035577,4.800265143,same,0.38176467180252077,1.65,1900.6078649902345
1_21_S,9,IV,3,3.84158003,4.993717803,same,0.37894666984677317,1.69,1895.8005236816407
1_21_S,10,#ivo,4,5.841967534,4.852737664,same,0.3841238883137703,1.49,1906.6504223632812
1_25_O,0,-VI,4,3.397104365,4.545372176,same,0.369493350982666,1.05,1942.7115258789063
1_25_O,1,v,4,4.510715135,3.905697203,same,0.3855727231502533,1.52,1962.8475549316406
1_25_O,2,iv,4,2.417155453,4.467324708,same,0.3868364508450031,1.4,1917.956533203125
1_25_O,3,v,4,4.641248391,4.664478745,same,0.38960068553686145,1.48,1970.2551623535155
1_25_O,4,-II,4,7.467843116,4.616271573,same,0.37926502630114556,1.76,1844.3688500976561
1_25_O,5,-vii,1,6.373999924,5.440453897,same,0.3837909735739231,1.87,1869.1290356445313
1_25_O,6,-vii,1,5.215315199,5.390820206,same,0.3755012708902359,1.73,1861.1443017578124
1_25_O,7,i,2,5.305046918,5.174407821,same,0.3777390196919441,1.17,1939.2087072753907
1_25_O,8,v,2,5.53852457,4.84575946,same,0.39023008674383164,1.41,1963.700322265625
1_25_O,9,-VI,2,4.071237224,5.182615743,same,0.3682433412969112,1.07,1942.2794604492187
1_25_O,10,v,3,4.00562857,5.0017997,same,0.3835044601559639,1.52,1963.8639099121094
1_25_S,0,-VI,4,3.397104365,4.545372176,same,0.369493350982666,1.05,1942.7115258789063
1_25_S,1,v,4,4.510715135,3.905697203,same,0.3855727231502533,1.52,1962.8475549316406
1_25_S,2,iv,4,2.417155453,4.467324708,same,0.3868364508450031,1.4,1917.956533203125
1_25_S,3,v,4,4.641248391,4.664478745,same,0.38960068553686145,1.48,1970.2551623535155
1_25_S,4,-II,4,7.467843116,4.616271573,same,0.37926502630114556,1.76,1844.3688549804688
1_25_S,5,vii,1,6.373999924,5.440453897,same,0.3720279584825039,1.48,1906.1285607910156
1_25_S,6,-vii,1,6.588703774,5.39550483,same,0.3749929031729698,1.73,1861.0926354980468
1_25_S,7,i,1,5.06608919,5.390820206,same,0.37773949921131134,1.17,1939.20849609375
1_25_S,8,v,2,5.53852457,4.84575946,same,0.3902300149202347,1.41,1963.7002734375
1_25_S,9,-VI,2,4.071237224,5.182615743,same,0.3682436476647854,1.07,1942.279295654297
1_25_S,10,v,3,4.00562857,5.0017997,same,0.38350452333688734,1.52,1963.8639453125
1_18_O,0,V,3,2.882847017,4.422646591,diff,0.38651954650878906,1.3,1931.1542346191407
1_18_O,1,II,4,5.428882434,4.701666993,diff,0.3812619271874428,1.66,1891.4213671875
1_18_O,2,iii,3,6.315658578,4.582834969,diff,0.36828136757016183,1.12,1957.6664782714843
