"X","response","trial_id","chord_index","chord_pleasantness","Symbol","Order","IC","Entropy","HarmonicFunction","SensoryDissonance","SpectralComplexity","SpectralCentroid","QualtricsID","overall_pleasantness","invalid_trial","interaction","trial_clean","quadrant","seq_id","version","chord_factor","pleasantness","surprise","uncertainty"
2,"R_11hm6t4X5BgCJer","1_18_O",0,1,"V",3,2.882847017,4.422646591,"diff",0.63687095412265,-0.554121230103689,0.0849518039328735,"Q161_1",0.967590228762147,NA,-0.0532558867581213,"1_18_O","1","1_18","O","0",-0.443345071668363,-0.402170876443669,0.13242104259029
3,"R_11hm6t4X5BgCJer","1_18_O",1,-10,"II",4,5.428882434,4.701666993,"diff",0.176336692312898,1.03607113237936,-1.00076706092755,"Q161_1",0.967590228762147,NA,0.400700121946033,"1_18_O","1","1_18","O","1",-0.718346371190274,0.875100339746129,0.457890488377913
4,"R_11hm6t4X5BgCJer","1_18_O",2,43,"iii",3,6.315658578,4.582834969,"diff",-0.960678385395563,-1.34921741134521,0.809411047470959,"Q161_1",0.967590228762147,NA,0.421435073812492,"1_18_O","1","1_18","O","2",0.60665989014257,1.31996989512317,0.319276276958701
5,"R_11hm6t4X5BgCJer","1_18_O",3,-44,"#io",2,7.349195773,3.883150504,"diff",-1.29001293851675,-0.200745149551901,-0.687255711594677,"Q161_1",0.967590228762147,NA,-0.913507523705481,"1_18_O","1","1_18","O","3",-1.56835038789436,1.83846516082946,-0.49688595855324
6,"R_11hm6t4X5BgCJer","1_18_O",4,49,"ii",2,1.137883918,3.507431803,"diff",0.130338094364756,0.903555102172439,-1.05691587701954,"Q161_1",0.967590228762147,NA,1.19471896468626,"1_18_O","1","1_18","O","4",0.756660598972703,-1.27756763046536,-0.935151248510482
7,"R_11hm6t4X5BgCJer","1_18_O",5,71,"#io",3,7.790566478,4.12006539,"diff",-1.11770668702456,-0.333261179758821,-0.153157421266629,"Q161_1",0.967590228762147,NA,-0.454269983990838,"1_18_O","1","1_18","O","5",1.30666319801653,2.0598878847247,-0.220531412102339
8,"R_11hm6t4X5BgCJer","1_18_O",6,72,"ii",1,2.740837217,4.526591739,"diff",0.630710602887857,0.41766299141373,-0.950036337770921,"Q161_1",0.967590228762147,NA,-0.120090744270811,"1_18_O","1","1_18","O","6",1.33166331615488,-0.473413023644668,0.253670132152824
9,"R_11hm6t4X5BgCJer","1_18_O",7,25,"ii",2,3.165036417,4.816686399,"diff",-0.0519493467593482,0.859383092103467,-1.02133373889979,"Q161_1",0.967590228762147,NA,-0.154292961509598,"1_18_O","1","1_18","O","7",0.15665776365217,-0.260604739646339,0.592057388207847
10,"R_11hm6t4X5BgCJer","1_18_O",8,41,"V",3,4.120804858,4.445939184,"diff",0.870295466043503,0.0642869108619411,0.248526034696804,"Q161_1",0.967590228762147,NA,0.0349307187660841,"1_18_O","1","1_18","O","8",0.556659653865859,0.218876225496848,0.159591196745062
11,"R_11hm6t4X5BgCJer","1_18_O",9,55,"V",3,2.574061123,4.253003081,"diff",0.555381419498445,-0.554121230103689,0.102160572518249,"Q161_1",0.967590228762147,NA,0.0364682957813748,"1_18_O","1","1_18","O","9",0.906661307802836,-0.557079693398133,-0.0654633371374959
