response,trial_id,quadrant,sequence_id,version,time,chord_index,pleasantness_rating
R_6efcBElj6FCvBmV,1_21_S,1,21,S,0.045802,-2,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,0.310964,-2,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,0.576816,-2,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,0.842713,-2,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,1.10821,-2,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,1.373618,-2,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,1.639356,-2,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,1.905373,-2,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,2.170532,-2,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,2.435688,-1,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,2.701727,-1,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,2.967757,-1,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,3.233572,-1,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,3.499405,-1,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,3.764409,-1,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,4.029068,-1,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,4.295295,-1,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,4.560902,-1,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,4.826374,0,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,5.092177,0,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,5.35862,0,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,5.62403,0,
R_6efcBElj6FCvBmV,1_21_S,1,21,S,5.889569,0,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,6.155563,0,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,6.420212,0,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,6.686953,0,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,6.952128,0,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,7.217281,1,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,7.482821,1,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,7.748249,1,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,8.014366,1,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,8.279564,1,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,8.545932,1,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,8.811302,1,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,9.076663,1,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,9.342466,1,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,9.608796,2,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,9.873393,2,-1.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,10.139242,2,0.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,10.406086,2,2.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,10.670331,2,3.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,10.936461,2,5.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,11.202307,2,7.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,11.467511,2,9.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,11.732357,2,12.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,11.997959,2,15.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,12.264377,3,17.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,12.529287,3,18.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,12.795367,3,19.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,13.060578,3,21.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,13.325843,3,22.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,13.59199,3,23.0
R_6efcBElj6FCvBmV,1_21_S,1,21,S,13.858048,3,23.0
