trial_id,chord_index,Symbol,Order,IC,Entropy,Function
1_21_O,0,ii,0,5.751996329,5.09971751,same
1_21_O,1,ii,1,4.36312273,5.120787058,same
1_21_O,2,II,2,5.112650451,4.976862111,same
1_21_O,3,II,3,3.157679941,4.396789319,same
1_21_O,4,-VI,4,6.800025179,4.225617168,same
1_21_O,5,V+,2,7.334320503,4.718569944,same
1_21_O,6,I,1,3.413176446,4.732960528,same
1_21_O,7,I,2,3.264204227,4.951074734,same
1_21_O,8,IV,3,4.863803269,4.902115724,same
1_21_O,9,IV,3,3.84158003,4.993717803,same
1_21_O,10,#ivo,4,5.841967534,4.852737664,same
1_21_S,0,ii,0,5.751996329,5.09971751,same
1_21_S,1,ii,1,4.36312273,5.120787058,same
1_21_S,2,II,2,5.112650451,4.976862111,same
1_21_S,3,II,3,3.157679941,4.396789319,same
1_21_S,4,-VI,4,6.800025179,4.225617168,same
1_21_S,5,-V,2,7.334320503,4.718569944,same
1_21_S,6,I,1,4.782639705,5.018487236,same
1_21_S,7,I,2,2.212269219,4.787172048,same
1_21_S,8,IV,3,4.830035577,4.800265143,same
1_21_S,9,IV,3,3.84158003,4.993717803,same
1_21_S,10,#ivo,4,5.841967534,4.852737664,same
1_25_O,0,-VI,4,3.397104365,4.545372176,same
1_25_O,1,v,4,4.510715135,3.905697203,same
1_25_O,2,iv,4,2.417155453,4.467324708,same
1_25_O,3,v,4,4.641248391,4.664478745,same
1_25_O,4,-II,4,7.467843116,4.616271573,same
1_25_O,5,-vii,1,6.373999924,5.440453897,same
1_25_O,6,-vii,1,5.215315199,5.390820206,same
1_25_O,7,i,2,5.305046918,5.174407821,same
1_25_O,8,v,2,5.53852457,4.84575946,same
1_25_O,9,-VI,2,4.071237224,5.182615743,same
1_25_O,10,v,3,4.00562857,5.0017997,same
1_25_S,0,-VI,4,3.397104365,4.545372176,same
1_25_S,1,v,4,4.510715135,3.905697203,same
1_25_S,2,iv,4,2.417155453,4.467324708,same
1_25_S,3,v,4,4.641248391,4.664478745,same
1_25_S,4,-II,4,7.467843116,4.616271573,same
1_25_S,5,vii,1,6.373999924,5.440453897,same
1_25_S,6,-vii,1,6.588703774,5.39550483,same
1_25_S,7,i,1,5.06608919,5.390820206,same
1_25_S,8,v,2,5.53852457,4.84575946,same
1_25_S,9,-VI,2,4.071237224,5.182615743,same
1_25_S,10,v,3,4.00562857,5.0017997,same
1_18_O,0,V,3,2.882847017,4.422646591,diff
1_18_O,1,II,4,5.428882434,4.701666993,diff
1_18_O,2,iii,3,6.315658578,4.582834969,diff
