response,QualtricsID,overall_pleasantness,trial_id,invalid_trial
R_6efcBElj6FCvBmV,Q145_1,-33.0,1_21_S,
R_75rcpr2IJ8FQlt7,Q145_1,17.0,1_21_S,
R_6ONTIhMg73HcsJO,Q145_1,22.0,1_21_S,
R_7PLFHJcP1sCHknL,Q145_1,52.0,1_21_S,
R_5QgKsFptfykYF2a,Q145_1,-15.0,1_21_S,
R_3rBtmvEFGlA2euY,Q145_1,1.0,1_21_S,
R_7YYzxAhoTh0JzDz,Q145_1,-33.0,1_21_S,
R_5el6gvrcCYCt9gm,Q145_1,30.0,1_21_S,
R_1cS00YwPv0qYkwf,Q145_1,32.0,1_21_S,
R_6CPHrtuj7SP8UUC,Q145_1,-88.0,1_21_S,
R_5BQMO4HCVitDKDr,Q145_1,0.0,1_21_S,
R_7D5CyBlRpKaBWlr,Q145_1,-39.0,1_21_S,
R_3FSbLaIbYu79r78,Q145_1,-35.0,1_21_S,
R_3TiyiRowq9eTX8J,Q145_1,17.0,1_21_S,
R_5e50bw1UZocht0y,Q145_1,-45.0,1_21_S,
R_3G3Y6hfZSzdgBIk,Q145_1,-100.0,1_21_S,
R_5HSUjAwXWAqyfxD,Q145_1,-56.0,1_21_S,
R_1FQflkMldupaWLW,Q145_1,-65.0,1_21_S,
R_6ZNxkJ8czyVt7E1,Q145_1,-12.0,1_21_S,
R_322x31PwAj0M5GN,Q145_1,-15.0,1_21_S,
R_7wp3WmD3UFSKp9M,Q145_1,-47.0,1_21_S,
R_1TxCWzBLCRYWFYl,Q145_1,9.0,1_21_S,
R_7CeVJiseeSsgCh6,Q145_1,18.0,1_21_S,
R_7rwXPXtG1YFPvVJ,Q145_1,-32.0,1_21_S,
R_7TuVgZfkHx9dFMD,Q145_1,-30.0,1_21_S,
R_3np9puN9JlT7IH3,Q145_1,-1.0,1_21_S,
R_3nj2UiAJ34Y31tv,Q145_1,-42.0,1_21_S,
R_7ajSdUpZgksrXjz,Q145_1,4.0,1_21_S,
R_1cnhbMhuECa9fX5,Q145_1,26.0,1_21_S,
R_7Lu4QIq3X8HK6A4,Q145_1,58.0,1_21_S,
R_7UgTFkj1C6rNo5k,Q145_1,-6.0,1_21_S,
R_1urpkmCQGSL8bZA,Q145_1,82.0,1_21_S,
R_7qW0qJgzLWxGmIp,Q145_1,46.0,1_21_S,
R_54vZUwQFpC5yYnU,Q145_1,-5.0,1_21_S,
R_5sShiW4FtJ2iJft,Q145_1,-3.0,1_21_S,
R_6pU0piaLpro8dYR,Q145_1,-16.0,1_21_S,
R_11hm6t4X5BgCJer,Q145_1,57.0,1_21_S,
R_1466hO0Z03hgUhq,Q145_1,23.0,1_21_S,
R_3SlsEB84RFtsYaB,Q145_1,-40.0,1_21_S,
R_7TYziOVIPnw7Tt7,Q145_1,16.0,1_21_S,
R_3QgBlGFmAXQOOYo,Q145_1,18.0,1_21_S,
R_5exvTvnYGQxYHmk,Q145_1,21.0,1_21_S,
R_6qiVb9WslcV95D3,Q145_1,59.0,1_21_S,
R_3CkdS2pAdeypu10,Q145_1,-20.0,1_21_S,
R_7rHfkVNs7QHbLag,Q145_1,32.0,1_21_S,
R_1CCTScrn2uMkLvQ,Q145_1,-36.0,1_21_S,
R_3lzeKfKWfV13bsI,Q145_1,15.0,1_21_S,
R_7q3oA2eiv1mVVXV,Q145_1,-19.0,1_21_S,
R_3VvBfjYi2GDlIIN,Q145_1,55.0,1_21_S,
R_6QopCGKzit4HLkS,Q145_1,10.0,1_21_S,
R_3ZUuSnuIJLb5zgZ,Q145_1,-7.0,1_21_S,
R_72zc1kJ2g5kjTOH,Q145_1,-48.0,1_21_S,
R_73llbEZEiEOM6dM,Q145_1,21.0,1_21_S,
