,response,trial_id,chord_index,chord_pleasantness,Symbol,Order,IC,Entropy,HarmonicFunction,SensoryDissonance,SpectralComplexity,SpectralCentroid
0,R_11hm6t4X5BgCJer,1_18_O,-2,9.0,,,,,,,,
1,R_11hm6t4X5BgCJer,1_18_O,-1,1.0,,,,,,,,
2,R_11hm6t4X5BgCJer,1_18_O,0,1.0,V,3.0,2.882847017,4.422646591,diff,0.386519546508789,1.3,1931.1542346191409
3,R_11hm6t4X5BgCJer,1_18_O,1,-10.0,II,4.0,5.428882434,4.701666993,diff,0.3812619271874428,1.66,1891.4213671875
4,R_11hm6t4X5BgCJer,1_18_O,2,43.0,iii,3.0,6.315658578,4.582834969,diff,0.3682813675701618,1.12,1957.6664782714845
5,R_11hm6t4X5BgCJer,1_18_O,3,-44.0,#io,2.0,7.349195773,3.883150504,diff,0.3645215697586536,1.38,1902.894599609375
6,R_11hm6t4X5BgCJer,1_18_O,4,49.0,ii,2.0,1.137883918,3.507431803,diff,0.3807367911934852,1.63,1889.366550292969
7,R_11hm6t4X5BgCJer,1_18_O,5,71.0,#io,3.0,7.790566478,4.12006539,diff,0.3664886778593063,1.35,1922.440411376953
8,R_11hm6t4X5BgCJer,1_18_O,6,72.0,ii,1.0,2.740837217,4.526591739,diff,0.3864492177963257,1.52,1893.2779040527344
9,R_11hm6t4X5BgCJer,1_18_O,7,25.0,ii,2.0,3.165036417,4.816686399,diff,0.378655734360218,1.62,1890.6687109375
10,R_11hm6t4X5BgCJer,1_18_O,8,41.0,V,3.0,4.120804858,4.445939184,diff,0.3891844019293785,1.44,1937.140382080078
11,R_11hm6t4X5BgCJer,1_18_O,9,55.0,V,3.0,2.574061123,4.253003081,diff,0.3855892336368561,1.3,1931.7840051269532
12,R_11hm6t4X5BgCJer,1_18_O,10,38.0,iii,4.0,4.814689029,4.100789225,diff,0.3652399754524231,1.1,1950.872293701172
13,R_11hm6t4X5BgCJer,1_18_S,-2,,,,,,,,,
14,R_11hm6t4X5BgCJer,1_18_S,-1,,,,,,,,,
15,R_11hm6t4X5BgCJer,1_18_S,0,-1.0,V,3.0,2.882847017,4.422646591,diff,0.386519546508789,1.3,1931.1542346191409
16,R_11hm6t4X5BgCJer,1_18_S,1,10.0,II,4.0,5.428882434,4.701666993,diff,0.3812619271874428,1.66,1891.4213671875
17,R_11hm6t4X5BgCJer,1_18_S,2,17.0,iii,3.0,6.315658578,4.582834969,diff,0.3682813675701618,1.12,1957.6664782714845
18,R_11hm6t4X5BgCJer,1_18_S,3,22.0,#io,2.0,7.349195773,3.883150504,diff,0.3645215697586536,1.38,1902.894599609375
19,R_11hm6t4X5BgCJer,1_18_S,4,31.0,ii,2.0,1.137883918,3.507431803,diff,0.3807367911934852,1.63,1889.3665405273437
20,R_11hm6t4X5BgCJer,1_18_S,5,-11.0,V+,3.0,7.790566478,4.12006539,diff,0.3721323308348656,1.27,1903.007176513672
21,R_11hm6t4X5BgCJer,1_18_S,6,22.0,ii,1.0,6.236044368,4.732960528,diff,0.3844589921832084,1.52,1893.194873046875
22,R_11hm6t4X5BgCJer,1_18_S,7,-26.0,ii,1.0,4.36312273,5.120787058,diff,0.3786552512645721,1.62,1890.668504638672
23,R_11hm6t4X5BgCJer,1_18_S,8,9.0,V,2.0,3.771258154,4.976862111,diff,0.3891842862963676,1.44,1937.1403271484376
24,R_11hm6t4X5BgCJer,1_18_S,9,15.0,V,3.0,2.574061123,4.253003081,diff,0.3855894693732262,1.3,1931.7835949707032
25,R_11hm6t4X5BgCJer,1_18_S,10,31.0,iii,4.0,4.814689029,4.100789225,diff,0.3652380834519863,1.1,1950.8722143554687
26,R_11hm6t4X5BgCJer,1_21_O,-2,-1.0,,,,,,,,
27,R_11hm6t4X5BgCJer,1_21_O,-1,-1.0,,,,,,,,
