ResponseId,Q23,Q24,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q26_11,Q26_12,Q26_13,Q26_14,Q26_15,Q26_16,Q26_17,Q26_18,Q26_19,Q26_20,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q27_11,Q27_12,Q27_13,Q27_14,Q27_15,Q27_16,Q27_17,Q27_18,Q27_19,Q27_20,Q27_21,Q27_22,Q27_23,Q27_24,Q27_25,Q27_26,Q27_27,Q27_28,Q27_29,Q27_30,Q27_31,Q28,Q30,Q31,Q32,Q33,Q34,Q35,age,gender,bmrq_total,goldsmi_gen,goldmsi_mt
R_7Fg1XuwBBdNO5lH,25.0,2.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,7.0,6.0,3.0,6.0,6.0,5.0,5.0,1.0,6.0,2.0,6.0,2.0,2.0,6.0,7.0,2.0,6.0,6.0,6.0,5.0,7.0,1.0,7.0,5.0,5.0,2.0,5.0,5.0,4.0,7.0,6.0,7.0,3.0,5.0,6.0,4.0,6.0,25.0,2.0,91.0,102.0,40.0
R_6efcBElj6FCvBmV,20.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,7.0,6.0,1.0,7.0,1.0,7.0,2.0,3.0,5.0,6.0,1.0,7.0,6.0,6.0,4.0,7.0,1.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0,7.0,7.0,4.0,3.0,20.0,2.0,74.0,103.0,42.0
R_75rcpr2IJ8FQlt7,25.0,2.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,7.0,7.0,6.0,3.0,7.0,7.0,7.0,4.0,2.0,7.0,2.0,7.0,2.0,2.0,7.0,7.0,3.0,7.0,7.0,7.0,4.0,7.0,1.0,7.0,5.0,6.0,2.0,5.0,3.0,3.0,7.0,6.0,7.0,3.0,5.0,6.0,4.0,3.0,25.0,2.0,91.0,105.0,40.0
R_6ONTIhMg73HcsJO,18.0,2.0,4.0,1.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,3.0,3.0,1.0,4.0,5.0,7.0,7.0,4.0,1.0,7.0,1.0,4.0,1.0,3.0,2.0,5.0,3.0,7.0,4.0,5.0,5.0,7.0,1.0,4.0,2.0,4.0,6.0,5.0,6.0,5.0,7.0,4.0,3.0,1.0,1.0,5.0,1.0,2.0,18.0,2.0,74.0,75.0,21.0
R_7PLFHJcP1sCHknL,19.0,1.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,1.0,3.0,3.0,5.0,3.0,5.0,3.0,1.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,6.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,6.0,4.0,5.0,3.0,5.0,6.0,2.0,2.0,19.0,1.0,72.0,72.0,34.0
R_5QgKsFptfykYF2a,19.0,2.0,3.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0,4.0,6.0,5.0,5.0,6.0,3.0,5.0,2.0,7.0,2.0,1.0,2.0,6.0,3.0,7.0,7.0,5.0,7.0,7.0,3.0,3.0,7.0,6.0,3.0,5.0,5.0,3.0,5.0,6.0,5.0,3.0,1.0,6.0,7.0,3.0,19.0,2.0,55.0,82.0,37.0
R_3rBtmvEFGlA2euY,21.0,1.0,4.0,2.0,5.0,4.0,1.0,3.0,2.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,1.0,2.0,6.0,6.0,6.0,4.0,5.0,6.0,2.0,7.0,2.0,1.0,5.0,7.0,3.0,7.0,3.0,5.0,7.0,6.0,2.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,7.0,6.0,4.0,2.0,2.0,5.0,2.0,3.0,21.0,1.0,73.0,82.0,30.0
R_7YYzxAhoTh0JzDz,19.0,2.0,4.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,6.0,3.0,5.0,5.0,2.0,1.0,19.0,2.0,78.0,74.0,30.0
R_5el6gvrcCYCt9gm,18.0,2.0,5.0,1.0,5.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,6.0,5.0,7.0,7.0,6.0,2.0,7.0,1.0,7.0,2.0,2.0,7.0,6.0,3.0,7.0,5.0,5.0,2.0,7.0,1.0,6.0,4.0,5.0,2.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,1.0,7.0,3.0,5.0,18.0,2.0,94.0,101.0,34.0
R_1cS00YwPv0qYkwf,25.0,1.0,4.0,2.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,5.0,1.0,1.0,4.0,3.0,6.0,5.0,2.0,5.0,3.0,5.0,2.0,7.0,3.0,5.0,3.0,1.0,3.0,3.0,6.0,6.0,6.0,3.0,6.0,4.0,5.0,7.0,5.0,2.0,6.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,25.0,1.0,66.0,55.0,18.0
