seq_id,seq_str,belonged_batch,seq_str_reduced,seq_i_in_train_batch
1,1 13 38 61 1 55 35 3 61 1 13 38 61 1 55 35 3 6 22 18 36 6 22 18 3 20 2 1 2 1,1,1 2 3 35 1 2 25 3 35 1 2 3 35 1 2 25 3 6 19 17 1 6 19 17 3 18 2 1 2 1,25
2,1 3 141 1 67 2 67 2 1 3 141 1 3 141 1 141 1 141 1 141 1 2 141 1 2 141 1 4 2 4 2 1,6,1 3 15 1 37 2 37 2 1 3 15 1 3 15 1 15 1 15 1 15 1 2 15 1 2 15 1 4 2 4 2 1,10
3,1 3 12 2 24 1 52 6 12 2 7 1 130 6 3 1 130 15 40 1 3 12 2 24 1 28 51 1 3 12 2 24 1,3,1 3 12 2 21 1 33 6 12 2 7 1 20 6 3 1 20 14 3 1 3 12 2 21 1 23 3 1 3 12 2 21 1,21
4,1 75 23 12 2 3 2 3 6 2 1 75 1 75 1 75 23 12 2 3 2 3 6 2 6 33 2 3 1 75 1 75 1,4,1 7 20 12 2 3 2 3 6 2 1 7 1 7 1 7 20 12 2 3 2 3 6 2 6 28 2 3 1 7 1 7 1,40
5,1 37 8 7 1 37 8 7 1 37 8 7 47 33 7 1 47 10 7 1 47 8 7 1 47 10 7 1 47 8 7 1,2,1 29 8 7 1 29 8 7 1 29 8 7 31 28 7 1 31 10 7 1 31 8 7 1 31 10 7 1 31 8 7 1,18
6,1 84 1 84 3 2 3 1 37 20 37 33 7 1 33 7 1 13 1 33 7 1 249 6 282 271 30 1 84 1 84 1 84 1,5,1 15 1 15 3 2 3 1 29 18 29 28 7 1 28 7 1 2 1 28 7 1 33 6 12 82 25 1 15 1 15 1 15 1,38
7,1 161 15 41 1 41 1 19 2 41 1 19 2 41 15 10 47 10 47 10 47 255 47 10 47 493 41 1 19 2 41 1 19 2 41 1,2,1 61 14 2 1 2 1 1 2 2 1 1 2 2 14 10 31 10 31 10 31 10 31 10 31 61 2 1 1 2 2 1 1 2 2 1,12
8,1 13 1 40 15 81 2 109 8 7 15 19 2 1 8 7 1 13 1 13 1 40 15 81 2 109 8 7 15 19 2 1 8 7 1,1,1 2 1 3 14 3 2 2 8 7 14 1 2 1 8 7 1 2 1 2 1 3 14 3 2 2 8 7 14 1 2 1 8 7 1,44
9,1 28 1 106 19 2 26 30 1 30 1 106 19 2 26 30 1 2 1 3 1 2 1 19 2 26 30 1 61 1 61 1 13 1,3,1 23 1 7 1 2 1 25 1 25 1 7 1 2 1 25 1 2 1 3 1 2 1 1 2 1 25 1 35 1 35 1 2 1,36
10,1 7 1 2 162 7 1 357 47 8 7 1 2 1 2 1 7 1 2 33 7 30 7 1 357 47 8 7 1 2 24 1,5,1 7 1 2 28 7 1 93 31 8 7 1 2 1 2 1 7 1 2 28 7 25 7 1 93 31 8 7 1 2 21 1,42
11,1 3 43 3 1 3 43 8 1 43 8 1 43 3 6 2 6 2 3 7 1 91 7 22 91 7 1 91 7 22 91 7 8 15 39 3 1,2,1 3 2 3 1 3 2 8 1 2 8 1 2 3 6 2 6 2 3 7 1 3 7 19 3 7 1 3 7 19 3 7 8 14 2 3 1,1
12,1 2 1 2 52 6 26 8 7 1 2 1 2 52 6 26 8 7 1 314 52 2 1 13 38 13 1 13 38 13 7 2 7 1,3,1 2 1 2 33 6 1 8 7 1 2 1 2 33 6 1 8 7 1 90 33 2 1 2 3 2 1 2 3 2 7 2 7 1,48
13,1 127 2 40 17 15 8 35 17 22 17 15 8 17 22 17 15 8 17 22 17 15 177 33 35 1 127 2 40 17 15 8 35 1,5,1 52 2 3 16 14 8 25 16 19 16 14 8 16 19 16 14 8 16 19 16 14 64 28 25 1 52 2 3 16 14 8 25 1,10
14,1 166 2 7 1 166 2 166 1 32 1 32 1 166 1 166 1 166 1 166 2 7 1 166 2 166 1 32 1 32 1 166 1 166 2 7 1,5,1 4 2 7 1 4 2 4 1 27 1 27 1 4 1 4 1 4 1 4 2 7 1 4 2 4 1 27 1 27 1 4 1 4 2 7 1,18
15,1 3 18 20 3 20 120 1 3 1 3 2 15 1 3 4 2 1 3 6 55 3 26 4 13 1 3 2 147 18 20 4 13 1,3,1 3 17 18 3 18 50 1 3 1 3 2 14 1 3 4 2 1 3 6 2 3 1 4 2 1 3 2 3 17 18 4 2 1,27
16,1 20 2 1 20 2 1 172 15 155 1 172 15 155 20 2 1 20 2 1 20 2 1 24 18 2 3 1 172 15 155 1 172 15 155 20 2 1,6,1 18 2 1 18 2 1 17 14 17 1 17 14 17 18 2 1 18 2 1 18 2 1 21 17 2 3 1 17 14 17 1 17 14 17 18 2 1,2
17,1 3 6 114 3 11 2 11 2 11 2 29 21 11 42 29 21 11 42 9 4 21 11 42 29 21 11 4 29 11 2 11 2 11 2 29 1,6,1 3 6 48 3 11 2 11 2 11 2 24 1 11 2 24 1 11 2 9 4 1 11 2 24 1 11 4 24 11 2 11 2 11 2 24 1,47
18,1 34 2 1 34 1 34 13 1 34 1 8 7 8 7 8 7 6 34 1 34 2 1 34 1 163 2 1 4 400 346 1 34 2 1,6,1 4 2 1 4 1 4 2 1 4 1 8 7 8 7 8 7 6 4 1 4 2 1 4 1 11 2 1 4 4 4 1 4 2 1,42
19,1 155 6 1 3 1 155 6 1 3 1 2 1 160 1 234 2 26 7 1 7 1 2 1 7 1 155 6 1 3 1 155 6 1 3 1 2 1,1,1 17 6 1 3 1 17 6 1 3 1 2 1 35 1 12 2 1 7 1 7 1 2 1 7 1 17 6 1 3 1 17 6 1 3 1 2 1,24
20,1 18 2 3 1 2 3 1 2 3 1 18 2 3 1 18 2 3 1 10 15 17 1 10 15 17 6 28 3 28 3 2 298 6 2 3 1,2,1 17 2 3 1 2 3 1 2 3 1 17 2 3 1 17 2 3 1 10 14 16 1 10 14 16 6 23 3 23 3 2 6 6 2 3 1,6
21,1 2 88 41 1 2 88 41 1 2 88 41 3 2 3 1 2 88 41 3 1 2 1 3 1 2 1 2 88 41 1 2 88 41 1,3,1 2 3 2 1 2 3 2 1 2 3 2 3 2 3 1 2 3 2 3 1 2 1 3 1 2 1 2 3 2 1 2 3 2 1,2
22,1 110 15 7 2 19 10 17 22 2 7 1 2 3 1 2 1 2 3 1 2 1 2 8 30 1 2 8 30 1,5,1 7 14 7 2 1 10 16 19 2 7 1 2 3 1 2 1 2 3 1 2 1 2 8 25 1 2 8 25 1,33
23,1 3 1 3 1 3 20 424 1 3 1 3 1 3 37 20 390 20 1 3 20 424 1 3 1 3 37 20 390 20 1 3 20 424 1 3 1,2,1 3 1 3 1 3 18 18 1 3 1 3 1 3 29 18 31 18 1 3 18 18 1 3 1 3 29 18 31 18 1 3 18 18 1 3 1,17
24,1 2 85 1 2 85 1 33 1 33 1 2 1 2 1 2 1 7 33 20 3 1 33 1 33 1 2 1 2 1 2 1 7 33 20 3 1,8,1 2 5 1 2 5 1 28 1 28 1 2 1 2 1 2 1 7 28 18 3 1 28 1 28 1 2 1 2 1 2 1 7 28 18 3 1,2
25,1 13 1 18 6 2 3 1 13 1 18 6 2 3 1 82 181 26 1 82 181 26 25 313 49 183 92 25 313 49 183 13 1 10 1 13 1,5,1 2 1 17 6 2 3 1 2 1 17 6 2 3 1 1 1 1 1 1 1 1 1 39 4 29 9 1 39 4 29 2 1 10 1 2 1,26
26,1 13 34 13 1 13 9 4 31 4 16 11 3 1 13 178 13 1 13 178 13 16 11 3 21 13 21 13 1 13 178 13 1,2,1 2 4 2 1 2 9 4 26 4 15 11 3 1 2 37 2 1 2 37 2 15 11 3 1 2 1 2 1 2 37 2 1,3
27,1 3 17 2 3 1 3 17 2 3 25 94 19 94 25 94 19 94 1 3 17 2 3 1 3 17 2 3 25 44 25 44 25 44 25 44 1,5,1 3 16 2 3 1 3 16 2 3 1 4 1 4 1 4 1 4 1 3 16 2 3 1 3 16 2 3 1 2 1 2 1 2 1 2 1,7
28,1 2 3 1 2 3 1 2 3 1 76 45 94 11 385 399 107 272 399 107 646 385 399 107 272 399 8 388 2 3 1 2 3 1,5,1 2 3 1 2 3 1 2 3 1 9 30 4 11 101 103 47 34 103 47 122 101 103 47 34 103 8 102 2 3 1 2 3 1,12
29,1 2 1 2 1 6 2 16 47 20 47 20 7 1 206 120 449 448 80 50 47 20 47 20 102 45 206 120 449 448 273 1 24 1 24 1,3,1 2 1 2 1 6 2 15 31 18 31 18 7 1 69 50 69 69 39 32 31 18 31 18 46 30 69 50 69 69 7 1 21 1 21 1,28
30,1 57 26 47 24 1 57 1 57 6 164 26 233 47 10 6 10 6 1 57 26 47 24 1 57 26 47 24 1 57 1 57 1,7,1 21 1 31 21 1 21 1 21 6 62 1 55 31 10 6 10 6 1 21 1 31 21 1 21 1 31 21 1 21 1 21 1,34
31,1 6 2 3 1 6 24 3 1 6 24 3 1 6 578 3 1 2 1 2 24 1 12 2 24 7 188 1 6 24 3 1 6 24 3 1,7,1 6 2 3 1 6 21 3 1 6 21 3 1 6 21 3 1 2 1 2 21 1 12 2 21 7 7 1 6 21 3 1 6 21 3 1,31
32,1 6 2 3 1 6 24 3 1 6 24 3 1 6 578 3 1 2 1 2 24 1 12 2 24 7 188 1 6 24 3 1 6 24 3 1,7,1 6 2 3 1 6 21 3 1 6 21 3 1 6 21 3 1 2 1 2 21 1 12 2 21 7 7 1 6 21 3 1 6 21 3 1,31
