original_code,original_label,reduced_label,reduced_code
1,0:maj,0:maj,1
2,5:maj,5:maj,2
3,7:maj,7:maj,3
4,10:maj,10:maj,4
5,0:min,0:min,5
6,9:min,9:min,6
7,7:7,7:7,7
8,2:min7,2:min7,8
9,8:maj,8:maj,9
10,2:min,2:min,10
11,3:maj,3:maj,11
12,0:7,0:7,12
13,5:maj/5,5:maj,2
14,0:min7,0:min7,13
15,9:min7,9:min7,14
16,5:7,5:7,15
17,4:min7,4:min7,16
18,4:min,4:min,17
19,0:maj/3,0:maj,1
20,2:maj,2:maj,18
21,0:5,0:maj,1
22,5:maj7,5:maj7,19
23,0:maj7,0:maj7,20
24,5:min,5:min,21
25,0:1,0:maj,1
26,0:maj/5,0:maj,1
27,5:min7,5:min7,22
28,7:sus4,7:sus4,23
29,7:min,7:min,24
30,7:sus4(b7),7:sus4(b7),25
31,8:maj7,8:maj7,26
32,7:min7,7:min7,27
33,2:7,2:7,28
34,10:maj/9,10:maj,4
35,"7:sus4(b7,9)",7:sus4(b7),25
36,0:maj(9),0:maj,1
37,9:maj,9:maj,29
38,7:maj/11,7:maj,3
39,5:maj6,5:maj,2
40,7:maj/3,7:maj,3
41,5:maj/9,5:maj,2
42,5:5,5:maj,2
43,5:maj(9),5:maj,2
44,5:1,5:maj,2
45,1:maj,1:maj,30
46,0:min9,0:min7,13
47,9:7,9:7,31
48,0:maj6,0:maj,1
49,10:1,10:maj,4
50,4:maj,4:maj,32
51,7:5,7:maj,3
52,4:7,4:7,33
53,10:5,10:maj,4
54,6:maj,6:maj,34
55,5:maj/3,5:maj,2
56,0:7(#9),0:7,12
57,5:min/5,5:min,21
58,2:min/b7,2:min,10
59,5:maj9,5:maj7,19
60,0:min/b7,0:min,5
61,0:sus4,0:sus4,35
62,5:min9,5:min7,22
63,10:7,10:7,36
64,3:5,3:maj,11
65,0:min7/5,0:min7,13
66,9:min9,9:min7,14
67,5:sus4,5:sus4,37
68,2:maj/b7,2:maj,18
69,10:maj/5,10:maj,4
70,0:min/13,0:min,5
71,10:maj6,10:maj,4
72,0:maj9,0:maj7,20
73,2:min/b3,2:min,10
74,3:1,3:maj,11
75,7:11,7:7,7
76,8:maj/3,8:maj,9
77,7:1,7:maj,3
78,10:sus4,10:sus4,38
79,3:maj/5,3:maj,11
80,11:maj,11:maj,39
81,7:maj6,7:maj,3
82,0:maj/b7,0:maj,1
83,2:min/11,2:min,10
84,5:7/5,5:7,15
85,0:min/b3,0:min,5
86,9:5,9:maj,29
87,3:maj7,3:maj7,40
88,7:maj/5,7:maj,3
89,7:maj7,7:maj7,41
90,0:sus4(b7),0:sus4(b7),42
91,7:maj(9),7:maj,3
92,8:1,8:maj,9
93,0:sus2,0:sus2,43
94,10:maj/3,10:maj,4
95,10:min7,10:min7,44
96,5:maj6(9),5:maj,2
97,7:7(b9),7:7,7
98,8:maj/9,8:maj,9
99,2:1,2:maj,18
100,"0:sus4(b7,9)",0:sus4(b7),42
101,5:sus2,5:sus2,45
102,8:7,8:7,46
103,8:maj(9),8:maj,9
104,2:maj/5,2:maj,18
105,2:min9,2:min7,8
106,7:7/5,7:7,7
107,3:min7,3:min7,47
108,0:maj/7,0:maj,1
109,5:maj/7,5:maj,2
110,7:7/3,7:7,7
111,8:maj9,8:maj7,26
112,5:13,5:7,15
113,7:9,7:7,7
114,2:sus4,2:sus4,48
115,5:min6/5,5:min,21
116,10:maj/b7,10:maj,4
117,0:min/11,0:min,5
118,2:hdim7,2:hdim7,49
119,0:7/b7,0:7,12
120,11:min,11:min,50
121,7:aug(b7),7:aug,51
122,10:maj/11,10:maj,4
123,6:maj/5,6:maj,34
124,7:min9,7:min7,27
125,0:min11,0:min7,13
126,5:sus4(b7),5:sus4(b7),52
127,"5:sus4(b7,9)",5:sus4(b7),52
128,7:min/b7,7:min,24
129,8:5,8:maj,9
130,0:maj7/7,0:maj7,20
131,0:min/5,0:min,5
132,10:maj(9),10:maj,4
133,11:min7,11:min7,53
134,3:maj/3,3:maj,11
135,0:min6,0:min,5
136,0:min7/13,0:min7,13
137,0:min7/b7,0:min7,13
138,9:min/b7,9:min,6
139,0:maj6(9),0:maj,1
140,3:7,3:7,54
141,5:11,5:7,15
142,0:maj/9,0:maj,1
143,0:min(b13),0:min,5
144,7:maj/9,7:maj,3
145,9:min(11),9:min,6
146,"9:sus4(b7,9)",9:sus4(b7),55
147,7:maj/b7,7:maj,3
148,8:min7,8:min7,56
149,10:11,10:7,36
150,"10:sus4(b7,9)",10:sus4(b7),57
151,7:13,7:7,7
152,7:7/11,7:7,7
153,10:sus2/9,10:sus2,58
154,3:sus4,3:sus4,59
155,4:min/b3,4:min,17
156,11:7,11:7,60
157,8:maj/7,8:maj,9
158,9:min7(11),9:min7,14
159,0:maj(#9),0:maj,1
160,0:sus4(9),0:sus4,35
161,10:maj7,10:maj7,61
162,2:9,2:7,28
163,3:maj/13,3:maj,11
164,6:dim,6:dim,62
165,0:min(9),0:min,5
166,10:maj6(9),10:maj,4
167,10:maj9,10:maj7,61
168,5:maj6/5,5:maj,2
169,5:maj9/3,5:maj7,19
170,7:maj7/9,7:maj7,41
171,2:min11,2:min7,8
172,4:min/5,4:min,17
173,7:min/b3,7:min,24
174,0:7/3,0:7,12
175,11:hdim7,11:hdim7,63
176,11:maj/5,11:maj,39
177,2:sus4(b7),2:sus4(b7),64
178,5:sus4/5,5:sus4,37
179,6:7,6:7,65
180,7:sus4(9),7:sus4,23
181,0:maj/13,0:maj,1
182,10:sus4(b7),10:sus4(b7),57
183,9:1,9:maj,29
184,4:sus4(b7),4:sus4(b7),66
185,5:min6,5:min,21
186,8:9,8:7,46
187,5:maj(9)/5,5:maj,2
188,7:7(#9),7:7,7
189,2:min7/b3,2:min7,8
190,5:maj13,5:maj7,19
191,5:min11,5:min7,22
192,8:maj/5,8:maj,9
193,10:maj7/9,10:maj7,61
194,2:5,2:maj,18
195,6:1,6:maj,34
196,7:min/11,7:min,24
197,1:maj7,1:maj7,67
198,"2:1(b3,b7)/b7",2:maj,18
199,5:5(b7),5:maj,2
200,5:9,5:7,15
201,5:min/b3,5:min,21
202,10:min7/9,10:min7,44
203,2:min7/11,2:min7,8
204,3:7/13,3:7,54
205,3:min,3:min,68
206,1:dim,1:dim,69
207,1:maj/5,1:maj,30
208,4:aug(b7),4:aug,70
209,6:maj9,6:maj7,71
210,0:maj(9)/3,0:maj,1
211,8:maj6,8:maj,9
212,3:maj(9),3:maj,11
213,3:min9,3:min7,47
214,4:min11,4:min7,16
215,5:min7/5,5:min7,22
216,8:maj7(#11),8:maj7,26
217,8:min7/b7,8:min7,56
218,1:maj9,1:maj7,67
219,3:5/13,3:maj,11
220,4:1,4:maj,32
221,6:min,6:min,72
222,8:dim,8:dim,73
223,9:min11,9:min7,14
224,1:min6,1:min,74
225,2:7/3,2:7,28
226,2:hdim7/b7,2:hdim7,49
227,5:7/3,5:7,15
228,2:maj7,2:maj7,75
229,5:min7(11),5:min7,22
230,"5:sus4(b7,9,13)",5:sus4(b7),52
231,6:min7,6:min7,76
232,7:maj/13,7:maj,3
233,9:sus4(b7),9:sus4(b7),55
234,0:9,0:7,12
235,11:maj6/5,11:maj,39
236,2:maj/3,2:maj,18
237,2:min7(11),2:min7,8
238,9:9,9:7,31
239,0:min7/b3,0:min7,13
240,4:7/3,4:7,33
241,7:min/5,7:min,24
242,9:min7/b7,9:min7,14
243,0:maj(11),0:maj,1
244,"10:sus4(b7,9,13)",10:sus4(b7),57
245,2:dim7,2:dim7,77
246,2:min6,2:min,10
247,3:dim,3:dim,78
248,3:sus2,3:sus2,79
249,4:7/5,4:7,33
250,5:dim7,5:dim7,80
251,6:7(#11),6:7,65
252,8:maj6(9),8:maj,9
253,8:min9,8:min7,56
254,1:1,1:maj,30
255,2:min/5,2:min,10
256,2:min7/b7,2:min7,8
257,5:5/5,5:maj,2
258,6:maj7,6:maj7,71
259,7:9/5,7:7,7
260,0:maj/11,0:maj,1
261,0:maj6/3,0:maj,1
262,10:9,10:7,36
263,10:min9,10:min7,44
264,4:maj/9,4:maj,32
265,4:min(9),4:min,17
266,5:maj7/9,5:maj7,19
267,6:maj/bb13,6:maj,34
268,8:maj6/5,8:maj,9
269,8:maj7/3,8:maj7,26
270,10:min,10:min,81
271,6:hdim7,6:hdim7,82
272,6:maj/9,6:maj,34
273,7:7(b13),7:7,7
274,9:min/11,9:min,6
275,9:min/b3,9:min,6
276,0:maj6/13,0:maj,1
277,0:sus4(b7)/b7,0:sus4(b7),42
278,3:maj6,3:maj,11
279,5:maj6/9,5:maj,2
280,7:5(b7),7:maj,3
281,0:7/13,0:7,12
282,0:7/5,0:7,12
283,0:sus2(b7),0:sus2(b7),83
284,10:7(#11),10:7,36
285,11:5,11:maj,39
286,"2:1(b3,b7,11,9)",2:maj,18
287,0:min7/11,0:min7,13
288,0:min7/9,0:min7,13
289,1:maj(9),1:maj,30
290,10:min/5,10:min,81
291,"11:1(b3,b7,11,9)",11:maj,39
292,2:minmaj7/5,2:minmaj7,84
293,3:maj(11),3:maj,11
294,3:maj/9,3:maj,11
295,3:maj9,3:maj7,40
296,4:min9,4:min7,16
297,7:sus4/5,7:sus4,23
298,9:min(9),9:min,6
299,9:sus4,9:sus4,85
300,0:1(11),0:maj,1
301,0:5/5,0:maj,1
302,0:dim,0:dim,86
303,1:7,1:7,87
304,2:7/b7,2:7,28
305,3:min7/11,3:min7,47
306,"5:maj9(13,#11)",5:maj7,19
307,5:min(9),5:min,21
308,"7:7(b9,b13)",7:7,7
309,9:dim/b3,9:dim,88
310,9:min7/b3,9:min7,14
311,0:aug,0:aug,89
312,10:1(3)/9,10:maj,4
313,11:1,11:maj,39
314,11:dim,11:dim,90
315,11:maj9,11:maj7,91
316,2:maj(9),2:maj,18
317,4:sus4,4:sus4,92
318,5:maj6(9)/5,5:maj,2
319,5:maj7/3,5:maj7,19
320,5:min9/5,5:min7,22
321,7:1(11),7:maj,3
322,7:5(b7)/3,7:maj,3
323,7:5(b7)/9,7:maj,3
324,7:7/b7,7:7,7
325,7:aug,7:aug,51
326,7:maj/7,7:maj,3
327,7:min7/11,7:min7,27
328,8:maj13,8:maj7,26
329,0:1(b7),0:maj,1
330,0:min(11),0:min,5
331,0:min/b13,0:min,5
332,1:maj/7,1:maj,30
333,2:9/3,2:7,28
334,3:maj/b7,3:maj,11
335,6:maj6,6:maj,34
336,7:maj6/3,7:maj,3
337,7:min(11),7:min,24
338,"7:sus4(b7,9,13)",7:sus4(b7),25
339,7:sus4/9,7:sus4,23
340,0:5(b7),0:maj,1
341,0:maj7/5,0:maj7,20
342,1:maj(#11),1:maj,30
343,1:maj7/7,1:maj7,67
344,1:min,1:min,74
345,10:1(b7),10:maj,4
346,10:maj/13,10:maj,4
347,10:maj13,10:maj7,61
348,10:maj6/9,10:maj,4
349,11:9,11:7,60
350,11:maj/b9,11:maj,39
351,11:maj7/9,11:maj7,91
352,2:1(11),2:maj,18
353,2:11,2:7,28
354,2:maj/b11,2:maj,18
355,2:minmaj7,2:minmaj7,84
356,2:sus4(b7)/11,2:sus4(b7),64
357,4:hdim7,4:hdim7,93
358,4:maj/#11,4:maj,32
359,"5:1(b5,b7,3)",5:maj,2
360,5:5/11,5:maj,2
361,5:hdim7,5:hdim7,94
362,5:min(11),5:min,21
363,5:sus4(b7)/11,5:sus4(b7),52
364,6:dim7,6:dim7,95
365,6:maj/3,6:maj,34
366,7:5(b7)/b7,7:maj,3
367,7:5/11,7:maj,3
368,7:dim,7:dim,96
369,7:maj(11),7:maj,3
370,8:11,8:7,46
371,8:dim7,8:dim7,97
372,8:min,8:min,98
373,8:min7/5,8:min7,56
374,8:sus2,8:sus2,99
375,9:maj/5,9:maj,29
376,0:maj6/b5,0:maj,1
377,0:sus4(b7)/5,0:sus4(b7),42
378,10:13,10:7,36
379,"10:9(13,#11)",10:7,36
380,2:dim/b7,2:dim,100
381,2:min(9),2:min,10
382,"2:sus4(b7,9)",2:sus4(b7),64
383,4:5,4:maj,32
384,4:maj/5,4:maj,32
385,4:maj7,4:maj7,101
386,5:min6/b3,5:min,21
387,7:maj6(9),7:maj,3
388,7:sus2(b7),7:sus2(b7),102
389,9:7(b9)/3,9:7,31
390,9:7/3,9:7,31
391,9:dim,9:dim,88
392,9:maj/11,9:maj,29
393,0:11,0:7,12
394,0:maj13,0:maj7,20
395,0:min13,0:min7,13
396,0:min7(b13),0:min7,13
397,0:min9/b7,0:min7,13
398,1:7(#11),1:7,87
399,1:min7,1:min7,103
400,10:maj/7,10:maj,4
401,10:sus4(9),10:sus4,38
402,11:maj/b13,11:maj,39
403,2:min/3,2:min,10
404,5:7/b7,5:7,15
405,5:maj6/3,5:maj,2
406,5:min7/b3,5:min7,22
407,5:sus2(b7),5:sus2(b7),104
408,7:hdim7,7:hdim7,105
409,7:maj(#9),7:maj,3
410,7:maj7/3,7:maj7,41
411,7:min6,7:min,24
412,7:min7/5,7:min7,27
413,7:sus4/11,7:sus4,23
414,8:min6,8:min,98
415,8:sus4,8:sus4,106
416,8:sus4(b7),8:sus4(b7),107
417,9:min7/11,9:min7,14
418,9:minmaj7,9:minmaj7,108
419,0:1(#5),0:maj,1
420,0:7(b9),0:7,12
421,0:maj6/5,0:maj,1
422,10:dim,10:dim,109
423,11:aug(b7)/3,11:aug,110
424,2:maj/7,2:maj,18
425,2:min11/b3,2:min7,8
426,2:min7/5,2:min7,8
427,3:9,3:7,54
428,3:maj(9)/3,3:maj,11
