"key","value"
1,"0:maj"
2,"5:maj"
3,"7:maj"
4,"10:maj"
5,"0:min"
6,"9:min"
7,"7:7"
8,"2:min7"
9,"8:maj"
10,"2:min"
11,"3:maj"
12,"0:7"
13,"5:maj/5"
14,"0:min7"
15,"9:min7"
16,"5:7"
17,"4:min7"
18,"4:min"
19,"0:maj/3"
20,"2:maj"
21,"0:5"
22,"5:maj7"
23,"0:maj7"
24,"5:min"
25,"0:1"
26,"0:maj/5"
27,"5:min7"
28,"7:sus4"
29,"7:min"
30,"7:sus4(b7)"
31,"8:maj7"
32,"7:min7"
33,"2:7"
34,"10:maj/9"
35,"7:sus4(b7,9)"
36,"0:maj(9)"
37,"9:maj"
38,"7:maj/11"
39,"5:maj6"
40,"7:maj/3"
41,"5:maj/9"
42,"5:5"
43,"5:maj(9)"
44,"5:1"
45,"1:maj"
46,"0:min9"
47,"9:7"
48,"0:maj6"
49,"10:1"
50,"4:maj"
51,"7:5"
52,"4:7"
53,"10:5"
54,"6:maj"
55,"5:maj/3"
56,"0:7(#9)"
57,"5:min/5"
58,"2:min/b7"
59,"5:maj9"
60,"0:min/b7"
61,"0:sus4"
62,"5:min9"
63,"10:7"
64,"3:5"
65,"0:min7/5"
66,"9:min9"
67,"5:sus4"
68,"2:maj/b7"
69,"10:maj/5"
70,"0:min/13"
71,"10:maj6"
72,"0:maj9"
73,"2:min/b3"
74,"3:1"
75,"7:11"
76,"8:maj/3"
77,"7:1"
78,"10:sus4"
79,"3:maj/5"
80,"11:maj"
81,"7:maj6"
82,"0:maj/b7"
83,"2:min/11"
84,"5:7/5"
85,"0:min/b3"
86,"9:5"
87,"3:maj7"
88,"7:maj/5"
89,"7:maj7"
90,"0:sus4(b7)"
91,"7:maj(9)"
92,"8:1"
93,"0:sus2"
94,"10:maj/3"
95,"10:min7"
96,"5:maj6(9)"
97,"7:7(b9)"
98,"8:maj/9"
99,"2:1"
100,"0:sus4(b7,9)"
101,"5:sus2"
102,"8:7"
103,"8:maj(9)"
104,"2:maj/5"
105,"2:min9"
106,"7:7/5"
107,"3:min7"
108,"0:maj/7"
109,"5:maj/7"
