"symbol","model_order","information_content","entropy","IC_norm","Ent_norm"
"r",0,4.27202649686042,6.8585162989164,0.0756735376946818,1.24189816700191
"r",1,3.00452539904033,5.88858141638092,-0.589461446834823,0.496441570131326
"V+",2,8.02967744214185,5.51142314066619,2.04754173382922,0.206571466727148
"r",2,4.75174792354994,6.00543440600344,0.327412573083585,0.58625051869749
"ii7",1,6.89654653276926,5.88858141638092,1.45291896689697,0.496441570131326
"V7",2,3.46781694204036,6.35070935318086,-0.34634417157885,0.851616257926003
"ii7",3,5.10678913997292,5.65935836330108,0.513724312299416,0.320269086648208
"V7",3,2.4670882502043,5.85717852958839,-0.871487435050081,0.472306455968737
"I",4,3.12641370434562,5.95371854811907,-0.525499233150754,0.546503595355639
"V7",5,5.68812880935666,6.08017518129706,0.818788625590311,0.643693554308504
"I",4,1.82164976575057,5.10976633161834,-1.21018829859191,-0.102127316432405
"VI7",5,4.05695359123015,5.99593467395481,-0.0371883083464252,0.578949370907401
"ii7",4,4.73499254035789,3.94977779987519,0.318620003547041,-0.993652220683406
"V7",4,1.07056620073004,4.18033930266605,-1.60432756699924,-0.816451053538504
"ii7",4,7.57668947031515,1.58530338080071,1.8098313695927,-2.81090107477473
"V7",3,2.4670882502043,5.85717852958839,-0.871487435050081,0.472306455968737
"I",4,3.12641370434562,5.95371854811907,-0.525499233150754,0.546503595355639
"V7",5,5.68812880935666,6.08017518129706,0.818788625590311,0.643693554308504
"I7",4,5.23082572282129,5.10976633161834,0.578813857985675,-0.102127316432405
"iii",4,7.53313636339552,6.16871637013829,1.78697640311809,0.711743084751125
"vi",1,5.52588488353418,6.78256385254361,0.733649361192405,1.1835238851645
"iii",2,4.91885949140121,6.50799692475349,0.415106185569303,0.972501752350194
"vi",3,2.59307051026425,5.951461547047,-0.805376874088767,0.544768946598682
"iii",4,5.96932977919256,4.18947470867896,0.96635189243336,-0.809429913459891
"IV",3,4.50723477139428,5.951461547047,0.19910163753014,0.544768946598682
"V",3,4.15692343384592,6.39776440574999,0.0152719536888628,0.887781056187567
"V",4,3.08580728434772,5.96620659297333,-0.546807893619413,0.556101451444996
"ii7",5,6.64209936231439,5.59162545879754,1.31939504721347,0.268212045091584
"V7",4,4.99422590554575,5.90345501397046,0.45465553096418,0.507872875100312
"ii7",3,3.73102684861508,5.89482086834632,-0.208221910826032,0.501236985485711
"V7",4,1.71278146331846,5.27785934654044,-1.26731812418218,0.0270628478949004
"I",5,3.45011107443914,5.26357274331237,-0.355635518145155,0.0160826853963648
"V7",5,5.68812880935666,6.08017518129706,0.818788625590311,0.643693554308504
"I",4,1.82164976575057,5.10976633161834,-1.21018829859191,-0.102127316432405
"VI7",5,4.05695359123015,5.99593467395481,-0.0371883083464252,0.578949370907401
"ii7",4,4.73499254035789,3.94977779987519,0.318620003547041,-0.993652220683406
"V7",4,1.07056620073004,4.18033930266605,-1.60432756699924,-0.816451053538504
"ii7",4,7.57668947031515,1.58530338080071,1.8098313695927,-2.81090107477473
"V7",3,2.4670882502043,5.85717852958839,-0.871487435050081,0.472306455968737
"I",4,3.12641370434562,5.95371854811907,-0.525499233150754,0.546503595355639
"V7",5,5.68812880935666,6.08017518129706,0.818788625590311,0.643693554308504
"I7",4,5.23082572282129,5.10976633161834,0.578813857985675,-0.102127316432405
"iii",4,7.53313636339552,6.16871637013829,1.78697640311809,0.711743084751125
"vi",1,5.52588488353418,6.78256385254361,0.733649361192405,1.1835238851645
"iii",2,4.91885949140121,6.50799692475349,0.415106185569303,0.972501752350194
"vi",3,2.59307051026425,5.951461547047,-0.805376874088767,0.544768946598682
"iii",4,5.96932977919256,4.18947470867896,0.96635189243336,-0.809429913459891
"IV",3,4.50723477139428,5.951461547047,0.19910163753014,0.544768946598682
"V7",3,5.20615851350197,6.39776440574999,0.565869471651643,0.887781056187567
"V",3,6.28674303434748,5.8088445911329,1.13291794978828,0.435158752629936
"ii7",3,6.95113794444021,5.99271287164782,1.48156640382594,0.576473211088011
"V7",2,4.60284000960267,6.59384475481361,0.249271525939738,1.0384812654058
"ii7",3,3.73102684861508,5.89482086834632,-0.208221910826032,0.501236985485711
"V7",4,1.71278146331846,5.27785934654044,-1.26731812418218,0.0270628478949004
"I",5,3.45011107443914,5.26357274331237,-0.355635518145155,0.0160826853963648
"V7",5,5.68812880935666,6.08017518129706,0.818788625590311,0.643693554308504
"I",4,1.82164976575057,5.10976633161834,-1.21018829859191,-0.102127316432405
"VI7",5,4.05695359123015,5.99593467395481,-0.0371883083464252,0.578949370907401
"ii7",4,4.73499254035789,3.94977779987519,0.318620003547041,-0.993652220683406
"V7",4,1.07056620073004,4.18033930266605,-1.60432756699924,-0.816451053538504
"ii7",4,7.57668947031515,1.58530338080071,1.8098313695927,-2.81090107477473
"V7",3,2.4670882502043,5.85717852958839,-0.871487435050081,0.472306455968737
"I",4,3.12641370434562,5.95371854811907,-0.525499233150754,0.546503595355639
"V7",5,5.68812880935666,6.08017518129706,0.818788625590311,0.643693554308504
"I",4,1.82164976575057,5.10976633161834,-1.21018829859191,-0.102127316432405
"VI7",5,4.05695359123015,5.99593467395481,-0.0371883083464252,0.578949370907401
"ii7",4,4.73499254035789,3.94977779987519,0.318620003547041,-0.993652220683406
"V7",4,1.07056620073004,4.18033930266605,-1.60432756699924,-0.816451053538504
"ii7",4,7.57668947031515,1.58530338080071,1.8098313695927,-2.81090107477473
"V7",3,2.4670882502043,5.85717852958839,-0.871487435050081,0.472306455968737
"I",4,3.12641370434562,5.95371854811907,-0.525499233150754,0.546503595355639
"V7",5,5.68812880935666,6.08017518129706,0.818788625590311,0.643693554308504
"I",4,1.82164976575057,5.10976633161834,-1.21018829859191,-0.102127316432405
"VI7",5,4.05695359123015,5.99593467395481,-0.0371883083464252,0.578949370907401
"ii7",4,4.73499254035789,3.94977779987519,0.318620003547041,-0.993652220683406
"V7",4,1.07056620073004,4.18033930266605,-1.60432756699924,-0.816451053538504
"ii7",4,7.57668947031515,1.58530338080071,1.8098313695927,-2.81090107477473
"V7",3,2.4670882502043,5.85717852958839,-0.871487435050081,0.472306455968737
"I",4,3.12641370434562,5.95371854811907,-0.525499233150754,0.546503595355639
"V7",5,5.68812880935666,6.08017518129706,0.818788625590311,0.643693554308504
"I",4,1.82164976575057,5.10976633161834,-1.21018829859191,-0.102127316432405
"VI7",5,4.05695359123015,5.99593467395481,-0.0371883083464252,0.578949370907401
"ii7",4,4.73499254035789,3.94977779987519,0.318620003547041,-0.993652220683406
"V7",4,1.07056620073004,4.18033930266605,-1.60432756699924,-0.816451053538504
"ii7",4,7.57668947031515,1.58530338080071,1.8098313695927,-2.81090107477473
"V7",3,2.4670882502043,5.85717852958839,-0.871487435050081,0.472306455968737
"I",4,3.12641370434562,5.95371854811907,-0.525499233150754,0.546503595355639
"V7",5,5.68812880935666,6.08017518129706,0.818788625590311,0.643693554308504
"I",4,1.82164976575057,5.10976633161834,-1.21018829859191,-0.102127316432405
"VI7",5,4.05695359123015,5.99593467395481,-0.0371883083464252,0.578949370907401
"ii7",4,4.73499254035789,3.94977779987519,0.318620003547041,-0.993652220683406
"V7",4,1.07056620073004,4.18033930266605,-1.60432756699924,-0.816451053538504
"I7",4,5.28620548503453,1.58530338080071,0.607874990434634,-2.81090107477473
"r",4,4.46414194413044,6.45596896844498,0.176488207810227,0.932514961535446
"r",3,0.69128582406909,3.14176386641851,-1.80335906913884,-1.61466227806383
