"Row","Symbol","Order","Information_content","Entropy","song","file_index"
73,"IV",6,0.0153453373571472,0.130474515375376,"Roxette_TheLook_1989.varms",517
59,"IV",6,0.0153901646469961,0.130808978677512,"Chicago_AliveAgain_1978",121
146,"IV",6,0.0154341295752992,0.131136089653218,"TheJGeilsBand_FreezeFrame_1982",637
185,"IV",6,0.015753238379804,0.133593233966955,"JethroTull_LivingInThePast_1972",333
22,"IV",6,0.0158057141808909,0.133902830634012,"PurePrairieLeague_Amie_1975",480
136,"IV",6,0.0159011244225827,0.134611509562797,"EltonJohn_TheBitchIsBack_1974",220
43,"IV",6,0.0162964142827873,0.140678498059958,"Foghat_DrivinWheel_1977",257
48,"IV",6,0.0164471778368661,0.138655680727043,"ThelmaHouston_DontLeaveMeThisWay_1977",646
13,"IV",6,0.0166551588027848,0.140190849977571,"MarthaAndTheVandellas_NowhereToRun_1965",407
22,"IV",6,0.0169233134416163,0.14216604628258,"GrandFunkRailroad_WalkLikeAMan_1973",292
9,"IV",6,0.0174873154683489,0.146620428804883,"WangChung_DanceHallDays_1984",721
15,"IV",6,0.0186876815032914,0.15504799402779,"RayParkerJr_Ghostbusters_1984",490
10,"IV",6,0.0207972532903108,0.170219480438351,"HueyLewis_IWantANewDrug_1984",301
41,"IV",4,0.0490944010746275,0.376026476774098,"VanHalen_WhenItsLove_1988.varms",719
22,"IV",4,0.0534807933433498,0.404511920548029,"Steppenwolf_BornToBeWild_1968",549
80,"IV",4,0.0549072594252771,0.413679284514767,"RickDerringer_RockAndRollHoochieKoo_1974",495
15,"V",6,0.0571101998317255,0.414171928503724,"Redbone_ComeAndGetYourLove_1974",493
23,"IV",4,0.0588301740598942,0.43865919115837,"BachmanTurnerOverdrive_Heartaches_1979",27
16,"IV",4,0.0589956232509242,0.439809614733744,"ColorMeBadd_IAdoreMiAmor_1991",141
100,"ii",5,0.069680154233581,0.492910177160659,"GeorgeHarrison_CrackerboxPalace_1977.varms",273
