"symbol","model_order","information_content","entropy","IC_norm","Ent_norm"
"r;",0,6.56909879886468,8.3169980186278,0.432200879006676,1.05786609734891
"r;",1,5.02599112185021,7.95601352004966,-0.278280608683312,0.518891190298604
"V+",2,8.71699739259204,7.61360277398314,1.42114170990913,0.00764818468162198
"r;",2,6.71423329345706,8.04213845737288,0.499024065210137,0.647481698398907
"ii7",1,7.92051140574855,7.95601352004966,1.05442164410553,0.518891190298604
"V7",2,4.89550819874159,8.11790069447761,-0.338357881779195,0.760599975949004
"ii7",3,6.01863278435662,7.76859497638442,0.178753942842675,0.23906229861668
"V7",3,3.24117498098588,7.66102700360288,-1.10005011051601,0.0784558505285211
"I",4,3.98083906390584,7.76257317558333,-0.759492127523812,0.23007133213522
"V7",5,6.88094812176631,7.54975064459343,0.575783322520232,-0.08768747554295
"I",4,1.47285954225845,6.06144425257258,-1.91422231789105,-2.30983220048651
"VI7b",5,8.96608411628603,7.50458410364613,1.53582684086275,-0.155124255528628
"ii7",1,8.18822020915087,8.26610932179259,1.17768079947243,0.981885741531131
"V7",1,6.44637767577714,8.28257781681877,0.375697313247146,1.00647434744345
"ii7",2,5.89676625085793,8.07380065148191,0.122643849354391,0.694755551415144
"V7",3,3.24117498098588,7.66102700360288,-1.10005011051601,0.0784558505285211
"I",4,3.98083906390584,7.76257317558333,-0.759492127523812,0.23007133213522
"V7",5,6.88094812176631,7.54975064459343,0.575783322520232,-0.08768747554295
"I7",4,5.95868780522026,6.06144425257258,0.151153925947712,-2.30983220048651
"iii",4,8.59644010950116,7.74625430318215,1.36563442476103,0.205706123185152
"vi",1,6.93146622801043,8.29179052291104,0.599042995072083,1.02022955695888
"iii",2,6.08229720300859,8.14734659581623,0.208066473361792,0.804564750058439
"vi",3,3.62791033812434,7.83188226323434,-0.92198845223066,0.333554609731857
"iii",4,6.69018471385052,6.315243448179,0.487951558171132,-1.93089238894277
"IV",3,5.57245943077194,7.83188226323434,-0.0266743061021984,0.333554609731857
"V",3,4.68395952810569,8.00025486715545,-0.435759648662391,0.584946591674688
"V",4,3.73095217737497,7.38385731941057,-0.8745456714477,-0.335377722278969
"ii7",5,7.64356691169727,7.37682035417156,0.926910169001086,-0.345884399714013
"V7",4,6.14726138650123,7.69567145340645,0.237977444852594,0.130182418251612
"ii7",3,4.00939153759406,7.74349040808607,-0.746345926331629,0.201579436005027
"V7",4,2.36372297536872,7.17415475450598,-1.5040487527453,-0.648478204080394
"I",5,4.16453979382275,7.23533539931626,-0.674912179004848,-0.557131255721723
"V7",5,6.88094812176631,7.54975064459343,0.575783322520232,-0.08768747554295
"I",4,1.47285954225845,6.06144425257258,-1.91422231789105,-2.30983220048651
"VI7b",5,8.96608411628603,7.50458410364613,1.53582684086275,-0.155124255528628
"ii7",1,8.18822020915087,8.26610932179259,1.17768079947243,0.981885741531131
"V7",1,6.44637767577714,8.28257781681877,0.375697313247146,1.00647434744345
"ii7",2,5.89676625085793,8.07380065148191,0.122643849354391,0.694755551415144
"V7",3,3.24117498098588,7.66102700360288,-1.10005011051601,0.0784558505285211
"I",4,3.98083906390584,7.76257317558333,-0.759492127523812,0.23007133213522
"V7",5,6.88094812176631,7.54975064459343,0.575783322520232,-0.08768747554295
"I7",4,5.95868780522026,6.06144425257258,0.151153925947712,-2.30983220048651
"iii",4,8.59644010950116,7.74625430318215,1.36563442476103,0.205706123185152
"vi",1,6.93146622801043,8.29179052291104,0.599042995072083,1.02022955695888
"iii",2,6.08229720300859,8.14734659581623,0.208066473361792,0.804564750058439
"vi",3,3.62791033812434,7.83188226323434,-0.92198845223066,0.333554609731857
